scenario_id,ego_id,rule_STL
DEU_AachenBendplatz-1_81280_T-1299,10100,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_112520_T-2539,10166,R_IN1,"[ 1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_112520_T-2539,10167,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_144900_T-4919,10365,R_IN1,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.]
DEU_AachenBendplatz-1_134360_T-4379,10307,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_81120_T-1139,10066,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_141980_T-1999,10120,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_81900_T-1919,10150,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_92120_T-2139,10127,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_92120_T-2139,10128,R_IN1,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.]
DEU_AachenBendplatz-1_153500_T-3519,10228,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_141560_T-1579,10096,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_143940_T-3959,10285,R_IN1,"[ 1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.
  1.]"
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_101960_T-1979,10120,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_134480_T-4499,10314,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_84500_T-4519,10341,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_111320_T-1339,10084,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_102780_T-2799,10171,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_111260_T-1279,10081,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_16600_T-619,10059,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1. -1.]" in the colliding zoo
DEU_AachenBendplatz-1_152560_T-2579,10167,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
