scenario_id,ego_id,rule_STL
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,"[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_191860_T-1879,10137,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_223000_T-3019,10282,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_14140_T-159,10012,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_102840_T-2859,10171,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_162260_T-2279,10178,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_71780_T-1799,10075,R_IN1,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.]
DEU_AachenBendplatz-1_83000_T-3019,10226,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_171160_T-1179,10089,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.
  1.  1.]"
DEU_AachenBendplatz-1_125440_T-5459,10371,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
 -1. -1.]"
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_172680_T-2699,10198,R_IN4,[ 1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.]
DEU_AachenBendplatz-1_104000_T-4019,10240,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_103200_T-3219,10188,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_143840_T-3859,10284,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_132620_T-2639,10181,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_8340_T-359,10030,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.
 -1.  1.]"
DEU_AachenBendplatz-1_84220_T-4239,10324,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_234960_T-4979,10467,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_1740_T-59,10003,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_102680_T-2699,10166,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_113820_T-3839,10260,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,"[ 1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_9140_T-159,10010,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_162420_T-2439,10191,R_IN4,[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.]
DEU_AachenBendplatz-1_12960_T-979,10047,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_111840_T-1859,10124,R_IN1,"[ 1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_82680_T-2699,10204,R_IN1,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.]
DEU_AachenBendplatz-1_134920_T-4939,10348,R_IN4,[ 1.  1.  1.  1.  1. -1.  1.]
DEU_AachenFrankenburg-1_22320_T-339,10047,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_10500_T-519,10039,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_83300_T-3319,10249,R_IN4,[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.]
DEU_AachenBendplatz-1_133700_T-3719,10271,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_133660_T-3679,10262,R_IN4,[ 1.  1.  1.  1.  1. -1.]
DEU_AachenBendplatz-1_13380_T-399,10017,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_133560_T-3579,10256,R_IN4,[ 1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.]
DEU_AachenBendplatz-1_133400_T-3419,10233,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_133400_T-3419,10238,R_IN1,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.]
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_25600_T-619,10075,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_144980_T-4999,10369,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_144980_T-4999,10367,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_125040_T-5059,10338,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_121100_T-1119,10056,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_91500_T-1519,10076,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_133240_T-3259,10221,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_133240_T-3259,10221, R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_71400_T-1419,10065,R_IN4,"[ 1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_83440_T-3459,10259,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_111360_T-1379,10090,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_172000_T-2019,10149,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_10920_T-939,10067,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1.]"
DEU_AachenBendplatz-1_10920_T-939,10063,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_125400_T-5419,10371,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_125400_T-5419,10378,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_125400_T-5419,10379,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_184400_T-4419,10335,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.  1.
 -1. -1.]"
DEU_AachenBendplatz-1_82900_T-2919,10223,R_IN4,[ 1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]
DEU_AachenFrankenburg-1_292800_T-2819,10281,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_104080_T-4099,10245,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_104080_T-4099,10247,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.]"
DEU_AachenBendplatz-1_121200_T-1219,10067,R_IN4,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]
DEU_AachenBendplatz-1_153540_T-3559,10231,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_16540_T-559,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_121440_T-1459,10078,R_IN4,[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
DEU_AachenBendplatz-1_81220_T-1239,10097,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_125480_T-5499,10371,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
  1.  1.]"
DEU_AachenBendplatz-1_143900_T-3919,10303,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_125460_T-5479,10371,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_125460_T-5479,10382,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_83120_T-3139,10234,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_101960_T-1979,10120,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_112980_T-2999,10196,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_201120_T-1139,10111,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_141560_T-1579,10096,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_141560_T-1579,10098,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenFrankenburg-1_294460_T-4479,10427,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_114340_T-4359,10284,R_IN4,"[ 1.  1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1.  1.
 -1. -1.]"
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_9160_T-179,10010,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_165260_T-5279,10399,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 -1. -1.]"
DEU_AachenBendplatz-1_133440_T-3459,10233,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_16640_T-659,10062,R_IN1,"[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_202720_T-2739,10225,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1.  1.]"
DEU_AachenBendplatz-1_81120_T-1139,10066,R_IN1,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_113520_T-3539,10231,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_133420_T-3439,10233,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
  1.  1.]"
DEU_AachenBendplatz-1_111320_T-1339,10084,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_111320_T-1339,10087,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 -1.  1.]"
DEU_AachenBendplatz-1_112480_T-2499,10159,R_IN1,"[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_124120_T-4139,10266,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_124120_T-4139,10270,R_IN4,[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.]
DEU_AachenBendplatz-1_152940_T-2959,10184,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_102700_T-2719,10168,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_16600_T-619,10059,R_IN1,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1. -1.]"
DEU_AachenBendplatz-1_16600_T-619,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_81540_T-1559,10112,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_93340_T-3359,10200,R_IN1,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_163680_T-3699,10265,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_162660_T-2679,10209,R_IN1,"[ 1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
 -1. -1.]"
DEU_AachenBendplatz-1_144960_T-4979,10369,R_IN1,"[ 1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_144960_T-4979,10367,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]"
DEU_AachenBendplatz-1_15380_T-399,10025,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1. -1.]"
DEU_AachenBendplatz-1_103280_T-3299,10190,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
  1.  1.]"
