scenario_id,ego_id,rule,
DEU_LocationAUpper-56_40_T-1,10,R_G1,
DEU_LocationAUpper-56_40_T-1,17,R_G1,
DEU_LocationALower-46_41_T-1,21,R_G1,
DEU_LocationALower-37_35_T-1,12,R_G1,
DEU_LocationAUpper-26_29_T-1,29,R_G1,
DEU_LocationAUpper-26_29_T-1,32,R_G1,
DEU_LocationAUpper-52_12_T-1,22,R_G1,
DEU_LocationALower-42_39_T-1,15,R_G1,
DEU_LocationAUpper-56_36_T-1,13,R_G1,
DEU_LocationAUpper-56_36_T-1,14,R_G1,
DEU_LocationALower-41_35_T-1,20,R_G1,
DEU_LocationALower-29_8_T-1,9,R_G1,
DEU_LocationAUpper-31_9_T-1,12,R_G1,
DEU_LocationELower-19_46_T-1,8,R_G1,
DEU_LocationAUpper-39_31_T-1,17,R_G1,
DEU_LocationAUpper-29_9_T-1,15,R_G1,
DEU_LocationEUpper-19_12_T-1,12,R_G1,
DEU_LocationAUpper-13_17_T-1,20,R_G1,
DEU_LocationAUpper-13_17_T-1,22,R_G1,
DEU_LocationDUpper-9_25_T-1,7,R_G1,
DEU_LocationAUpper-31_23_T-1,17,R_G1,
DEU_LocationBLower-3_46_T-1,7,R_G1,
DEU_LocationALower-14_7_T-1,11,R_G1,
DEU_LocationAUpper-12_35_T-1,18,R_G1,
DEU_LocationALower-12_29_T-1,21,R_G1,
DEU_LocationALower-38_32_T-1,16,R_G1,
DEU_LocationAUpper-48_56_T-1,21,R_G1,
DEU_LocationAUpper-48_56_T-1,23,R_G1,
DEU_LocationALower-33_5_T-1,23,R_G1,
DEU_LocationALower-33_5_T-1,24,R_G1,
DEU_LocationALower-46_59_T-1,11,R_G1,
DEU_LocationAUpper-11_19_T-1,10,R_G1,
DEU_LocationALower-12_8_T-1,15,R_G1,
DEU_LocationALower-12_8_T-1,20,R_G1,
DEU_LocationALower-12_8_T-1,21,R_G1,
DEU_LocationAUpper-35_53_T-1,16,R_G1,
DEU_LocationALower-47_21_T-1,19,R_G1,
DEU_LocationAUpper-36_8_T-1,16,R_G1,
DEU_LocationEUpper-17_6_T-1,7,R_G1,
DEU_LocationALower-51_35_T-1,14,R_G1,
DEU_LocationAUpper-45_34_T-1,19,R_G1,
DEU_LocationAUpper-34_13_T-1,21,R_G1,
DEU_LocationALower-31_28_T-1,17,R_G1,
DEU_LocationFLower-59_20_T-1,16,R_G1,
DEU_LocationAUpper-46_43_T-1,17,R_G1,
DEU_LocationAUpper-46_43_T-1,26,R_G1,
DEU_LocationALower-47_34_T-1,14,R_G1,
DEU_LocationAUpper-45_20_T-1,15,R_G1,
DEU_LocationAUpper-45_20_T-1,21,R_G1,
DEU_LocationAUpper-45_20_T-1,23,R_G1,
DEU_LocationALower-14_49_T-1,15,R_G1,
DEU_LocationALower-50_20_T-1,11,R_G1,
DEU_LocationAUpper-39_45_T-1,15,R_G1,
DEU_LocationAUpper-12_28_T-1,17,R_G1,
DEU_LocationAUpper-12_28_T-1,24,R_G1,
DEU_LocationAUpper-52_28_T-1,13,R_G1,
DEU_LocationAUpper-52_28_T-1,14,R_G1,
DEU_LocationALower-30_53_T-1,19,R_G1,
DEU_LocationALower-31_12_T-1,17,R_G1,
DEU_LocationAUpper-13_35_T-1,24,R_G1,
DEU_LocationALower-12_3_T-1,21,R_G1,
DEU_LocationAUpper-49_13_T-1,20,R_G1,
DEU_LocationAUpper-48_27_T-1,17,R_G1,
DEU_LocationDUpper-8_4_T-1,10,R_G1,
DEU_LocationALower-39_15_T-1,14,R_G1,
DEU_LocationALower-27_47_T-1,25,R_G1,
DEU_LocationEUpper-15_18_T-1,6,R_G1,
DEU_LocationEUpper-15_18_T-1,10,R_G1,
DEU_LocationAUpper-43_47_T-1,19,R_G1,
DEU_LocationELower-17_39_T-1,16,R_G1,
DEU_LocationAUpper-31_16_T-1,12,R_G1,
DEU_LocationAUpper-50_55_T-1,22,R_G1,
DEU_LocationAUpper-28_8_T-1,12,R_G1,
DEU_LocationALower-13_28_T-1,23,R_G1,
DEU_LocationAUpper-12_10_T-1,34,R_G1,
DEU_LocationEUpper-19_46_T-1,8,R_G1,
DEU_LocationFUpper-59_3_T-1,11,R_G1,
DEU_LocationALower-12_31_T-1,13,R_G1,
DEU_LocationALower-33_50_T-1,18,R_G1,
DEU_LocationALower-25_34_T-1,22,R_G1,
DEU_LocationALower-25_34_T-1,23,R_G1,
DEU_LocationEUpper-17_7_T-1,4,R_G1,
DEU_LocationAUpper-36_17_T-1,22,R_G1,
DEU_LocationFUpper-60_43_T-1,19,R_G1,
DEU_LocationFUpper-60_43_T-1,22,R_G1,
DEU_LocationAUpper-13_48_T-1,22,R_G1,
DEU_LocationAUpper-51_31_T-1,21,R_G1,
DEU_LocationAUpper-14_11_T-1,21,R_G1,
DEU_LocationEUpper-17_36_T-1,8,R_G1,
DEU_LocationALower-53_36_T-1,10,R_G1,
DEU_LocationAUpper-52_22_T-1,12,R_G1,
DEU_LocationELower-23_27_T-1,15,R_G1,
DEU_LocationAUpper-31_21_T-1,18,R_G1,
DEU_LocationAUpper-54_19_T-1,15,R_G1,
DEU_LocationALower-35_11_T-1,20,R_G1,
DEU_LocationAUpper-32_11_T-1,14,R_G1,
DEU_LocationAUpper-57_23_T-1,10,R_G1,
DEU_LocationALower-42_14_T-1,13,R_G1,
DEU_LocationALower-26_48_T-1,25,R_G1,
DEU_LocationAUpper-45_25_T-1,17,R_G1,
DEU_LocationALower-14_5_T-1,17,R_G1,
DEU_LocationAUpper-43_29_T-1,12,R_G1,
DEU_LocationAUpper-40_35_T-1,22,R_G1,
DEU_LocationAUpper-29_36_T-1,21,R_G1,
DEU_LocationAUpper-29_7_T-1,13,R_G1,
DEU_LocationALower-48_12_T-1,12,R_G1,
DEU_LocationALower-31_47_T-1,26,R_G1,
DEU_LocationAUpper-47_9_T-1,23,R_G1,
DEU_LocationAUpper-25_17_T-1,24,R_G1,
DEU_LocationDLower-9_51_T-1,9,R_G1,
DEU_LocationELower-17_11_T-1,8,R_G1,
DEU_LocationFUpper-58_19_T-1,11,R_G1,
DEU_LocationALower-12_34_T-1,11,R_G1,
DEU_LocationALower-43_18_T-1,15,R_G1,
DEU_LocationALower-57_45_T-1,14,R_G1,
DEU_LocationCLower-5_2_T-1,13,R_G1,
DEU_LocationCLower-5_2_T-1,15,R_G1,
DEU_LocationDLower-10_14_T-1,11,R_G1,
DEU_LocationALower-11_16_T-1,15,R_G1,
DEU_LocationALower-11_16_T-1,17,R_G1,
DEU_LocationALower-11_16_T-1,20,R_G1,
DEU_LocationALower-11_16_T-1,30,R_G1,
DEU_LocationAUpper-43_27_T-1,13,R_G1,
DEU_LocationALower-39_59_T-1,16,R_G1,
DEU_LocationAUpper-36_49_T-1,10,R_G1,
DEU_LocationALower-52_45_T-1,17,R_G1,
DEU_LocationALower-45_51_T-1,15,R_G1,
DEU_LocationALower-45_51_T-1,21,R_G1,
DEU_LocationAUpper-25_5_T-1,11,R_G1,
DEU_LocationAUpper-39_48_T-1,14,R_G1,
DEU_LocationAUpper-25_51_T-1,25,R_G1,
DEU_LocationAUpper-46_33_T-1,20,R_G1,
DEU_LocationELower-15_18_T-1,14,R_G1,
DEU_LocationAUpper-48_15_T-1,20,R_G1,
DEU_LocationEUpper-21_31_T-1,11,R_G1,
DEU_LocationFLower-58_2_T-1,18,R_G1,
DEU_LocationAUpper-52_19_T-1,18,R_G1,
DEU_LocationAUpper-11_24_T-1,13,R_G1,
DEU_LocationALower-13_24_T-1,15,R_G1,
DEU_LocationALower-45_19_T-1,12,R_G1,
DEU_LocationELower-16_36_T-1,9,R_G1,
DEU_LocationELower-16_36_T-1,11,R_G1,
DEU_LocationALower-46_11_T-1,15,R_G1,
DEU_LocationALower-46_11_T-1,21,R_G1,
DEU_LocationAUpper-36_7_T-1,19,R_G1,
DEU_LocationFUpper-59_6_T-1,16,R_G1,
DEU_LocationELower-24_18_T-1,8,R_G1,
DEU_LocationALower-48_39_T-1,11,R_G1,
DEU_LocationALower-29_19_T-1,16,R_G1,
DEU_LocationAUpper-13_37_T-1,7,R_G1,
DEU_LocationALower-55_40_T-1,17,R_G1,
DEU_LocationALower-46_2_T-1,22,R_G1,
DEU_LocationAUpper-12_29_T-1,21,R_G1,
DEU_LocationAUpper-13_10_T-1,22,R_G1,
DEU_LocationAUpper-43_42_T-1,14,R_G1,
DEU_LocationALower-36_38_T-1,15,R_G1,
DEU_LocationALower-36_38_T-1,25,R_G1,
DEU_LocationALower-12_45_T-1,16,R_G1,
DEU_LocationALower-11_9_T-1,15,R_G1,
DEU_LocationALower-11_9_T-1,23,R_G1,
DEU_LocationAUpper-25_41_T-1,31,R_G1,
DEU_LocationALower-14_52_T-1,12,R_G1,
DEU_LocationELower-19_16_T-1,11,R_G1,
DEU_LocationALower-47_43_T-1,13,R_G1,
DEU_LocationAUpper-36_61_T-1,18,R_G1,
DEU_LocationALower-36_5_T-1,13,R_G1,
DEU_LocationAUpper-26_5_T-1,23,R_G1,
DEU_LocationALower-38_16_T-1,18,R_G1,
DEU_LocationALower-38_16_T-1,20,R_G1,
DEU_LocationAUpper-31_8_T-1,15,R_G1,
DEU_LocationAUpper-42_5_T-1,9,R_G1,
DEU_LocationAUpper-36_3_T-1,25,R_G1,
DEU_LocationAUpper-53_23_T-1,15,R_G1,
DEU_LocationALower-49_49_T-1,19,R_G1,
DEU_LocationALower-14_40_T-1,24,R_G1,
DEU_LocationELower-16_26_T-1,10,R_G1,
DEU_LocationAUpper-25_39_T-1,15,R_G1,
DEU_LocationAUpper-25_39_T-1,24,R_G1,
DEU_LocationAUpper-55_4_T-1,19,R_G1,
DEU_LocationALower-38_26_T-1,23,R_G1,
DEU_LocationALower-45_48_T-1,27,R_G1,
DEU_LocationAUpper-50_57_T-1,11,R_G1,
DEU_LocationAUpper-11_16_T-1,15,R_G1,
DEU_LocationAUpper-11_16_T-1,23,R_G1,
DEU_LocationAUpper-11_16_T-1,24,R_G1,
DEU_LocationALower-46_10_T-1,17,R_G1,
DEU_LocationALower-40_2_T-1,21,R_G1,
DEU_LocationCUpper-6_23_T-1,11,R_G1,
DEU_LocationAUpper-35_17_T-1,19,R_G1,
DEU_LocationBLower-2_43_T-1,5,R_G1,
DEU_LocationFUpper-60_31_T-1,17,R_G1,
DEU_LocationFUpper-60_40_T-1,13,R_G1,
DEU_LocationAUpper-12_7_T-1,25,R_G1,
DEU_LocationAUpper-12_7_T-1,26,R_G1,
DEU_LocationALower-26_56_T-1,37,R_G1,
DEU_LocationAUpper-33_30_T-1,11,R_G1,
DEU_LocationALower-28_2_T-1,19,R_G1,
DEU_LocationFLower-59_7_T-1,11,R_G1,
DEU_LocationAUpper-12_21_T-1,22,R_G1,
DEU_LocationALower-13_36_T-1,18,R_G1,
DEU_LocationALower-56_5_T-1,20,R_G1,
DEU_LocationAUpper-26_11_T-1,20,R_G1,
DEU_LocationAUpper-26_11_T-1,32,R_G1,
DEU_LocationAUpper-26_11_T-1,33,R_G1,
DEU_LocationALower-31_56_T-1,14,R_G1,
DEU_LocationALower-31_56_T-1,19,R_G1,
DEU_LocationALower-57_5_T-1,17,R_G1,
DEU_LocationALower-42_23_T-1,11,R_G1,
DEU_LocationALower-52_32_T-1,8,R_G1,
DEU_LocationAUpper-41_28_T-1,24,R_G1,
DEU_LocationALower-32_26_T-1,16,R_G1,
DEU_LocationBUpper-1_20_T-1,4,R_G1,
DEU_LocationAUpper-11_5_T-1,19,R_G1,
DEU_LocationAUpper-34_7_T-1,14,R_G1,
DEU_LocationALower-52_46_T-1,16,R_G1,
DEU_LocationALower-54_38_T-1,9,R_G1,
DEU_LocationALower-55_21_T-1,20,R_G1,
DEU_LocationALower-44_33_T-1,15,R_G1,
DEU_LocationALower-27_40_T-1,16,R_G1,
DEU_LocationALower-49_10_T-1,20,R_G1,
DEU_LocationALower-51_26_T-1,15,R_G1,
DEU_LocationAUpper-57_38_T-1,11,R_G1,
DEU_LocationALower-14_10_T-1,14,R_G1,
DEU_LocationELower-16_2_T-1,7,R_G1,
DEU_LocationALower-35_32_T-1,15,R_G1,
DEU_LocationAUpper-30_12_T-1,9,R_G1,
DEU_LocationAUpper-12_24_T-1,33,R_G1,
DEU_LocationDUpper-8_3_T-1,11,R_G1,
DEU_LocationFUpper-59_18_T-1,14,R_G1,
DEU_LocationAUpper-13_46_T-1,16,R_G1,
DEU_LocationAUpper-13_46_T-1,19,R_G1,
DEU_LocationALower-40_6_T-1,16,R_G1,
DEU_LocationAUpper-33_41_T-1,17,R_G1,
DEU_LocationBUpper-3_23_T-1,7,R_G1,
DEU_LocationBUpper-3_23_T-1,15,R_G1,
DEU_LocationALower-26_53_T-1,27,R_G1,
DEU_LocationEUpper-19_45_T-1,6,R_G1,
DEU_LocationEUpper-19_45_T-1,9,R_G1,
DEU_LocationALower-55_17_T-1,17,R_G1,
DEU_LocationALower-46_51_T-1,13,R_G1,
DEU_LocationAUpper-27_30_T-1,16,R_G1,
DEU_LocationAUpper-55_6_T-1,31,R_G1,
DEU_LocationEUpper-20_18_T-1,11,R_G1,
DEU_LocationAUpper-11_31_T-1,18,R_G1,
DEU_LocationALower-39_23_T-1,12,R_G1,
DEU_LocationAUpper-52_18_T-1,18,R_G1,
DEU_LocationAUpper-13_45_T-1,22,R_G1,
DEU_LocationAUpper-32_37_T-1,12,R_G1,
DEU_LocationAUpper-32_37_T-1,14,R_G1,
DEU_LocationAUpper-56_45_T-1,13,R_G1,
DEU_LocationELower-24_30_T-1,7,R_G1,
DEU_LocationALower-53_46_T-1,19,R_G1,
DEU_LocationALower-37_42_T-1,18,R_G1,
DEU_LocationALower-46_18_T-1,16,R_G1,
DEU_LocationALower-43_48_T-1,14,R_G1,
DEU_LocationELower-19_36_T-1,11,R_G1,
DEU_LocationELower-19_36_T-1,12,R_G1,
DEU_LocationALower-48_5_T-1,18,R_G1,
DEU_LocationELower-24_19_T-1,14,R_G1,
DEU_LocationBUpper-2_22_T-1,10,R_G1,
DEU_LocationBUpper-1_12_T-1,14,R_G1,
DEU_LocationBUpper-2_30_T-1,13,R_G1,
DEU_LocationAUpper-55_18_T-1,17,R_G1,
DEU_LocationCUpper-5_39_T-1,7,R_G1,
DEU_LocationEUpper-23_5_T-1,6,R_G1,
DEU_LocationALower-44_34_T-1,18,R_G1,
DEU_LocationAUpper-46_50_T-1,12,R_G1,
DEU_LocationAUpper-46_50_T-1,13,R_G1,
DEU_LocationFUpper-60_15_T-1,16,R_G1,
DEU_LocationALower-51_31_T-1,16,R_G1,
DEU_LocationALower-51_31_T-1,18,R_G1,
DEU_LocationCLower-4_46_T-1,9,R_G1,
DEU_LocationAUpper-41_39_T-1,14,R_G1,
DEU_LocationEUpper-24_32_T-1,7,R_G1,
DEU_LocationAUpper-51_43_T-1,11,R_G1,
DEU_LocationAUpper-51_43_T-1,13,R_G1,
DEU_LocationAUpper-28_35_T-1,24,R_G1,
DEU_LocationAUpper-42_51_T-1,13,R_G1,
DEU_LocationEUpper-23_23_T-1,6,R_G1,
DEU_LocationAUpper-11_2_T-1,29,R_G1,
DEU_LocationAUpper-54_9_T-1,14,R_G1,
DEU_LocationAUpper-14_4_T-1,15,R_G1,
DEU_LocationAUpper-14_48_T-1,23,R_G1,
DEU_LocationAUpper-14_48_T-1,28,R_G1,
DEU_LocationALower-34_8_T-1,15,R_G1,
DEU_LocationAUpper-47_1_T-1,14,R_G1,
DEU_LocationALower-49_1_T-1,17,R_G1,
DEU_LocationAUpper-55_51_T-1,13,R_G1,
DEU_LocationELower-21_39_T-1,7,R_G1,
DEU_LocationDLower-9_41_T-1,10,R_G1,
DEU_LocationALower-30_45_T-1,16,R_G1,
DEU_LocationALower-33_19_T-1,17,R_G1,
DEU_LocationAUpper-31_43_T-1,14,R_G1,
DEU_LocationALower-49_3_T-1,17,R_G1,
DEU_LocationAUpper-39_24_T-1,10,R_G1,
DEU_LocationCLower-6_18_T-1,13,R_G1,
DEU_LocationAUpper-11_9_T-1,19,R_G1,
DEU_LocationAUpper-11_9_T-1,25,R_G1,
DEU_LocationAUpper-14_52_T-1,13,R_G1,
DEU_LocationALower-47_13_T-1,26,R_G1,
DEU_LocationALower-35_16_T-1,8,R_G1,
DEU_LocationAUpper-37_17_T-1,12,R_G1,
DEU_LocationALower-29_50_T-1,16,R_G1,
DEU_LocationALower-25_37_T-1,9,R_G1,
DEU_LocationAUpper-27_14_T-1,16,R_G1,
DEU_LocationALower-30_49_T-1,16,R_G1,
DEU_LocationEUpper-15_20_T-1,8,R_G1,
DEU_LocationFUpper-60_5_T-1,15,R_G1,
DEU_LocationALower-47_47_T-1,20,R_G1,
DEU_LocationALower-13_31_T-1,18,R_G1,
DEU_LocationALower-40_20_T-1,17,R_G1,
DEU_LocationAUpper-14_15_T-1,13,R_G1,
DEU_LocationAUpper-14_15_T-1,23,R_G1,
DEU_LocationELower-19_5_T-1,7,R_G1,
DEU_LocationDUpper-10_24_T-1,14,R_G1,
DEU_LocationAUpper-25_40_T-1,28,R_G1,
DEU_LocationAUpper-25_40_T-1,50,R_G1,
DEU_LocationAUpper-48_50_T-1,16,R_G1,
DEU_LocationAUpper-25_12_T-1,54,R_G1,
DEU_LocationELower-23_44_T-1,8,R_G1,
DEU_LocationELower-23_44_T-1,9,R_G1,
DEU_LocationALower-41_9_T-1,14,R_G1,
DEU_LocationAUpper-25_4_T-1,27,R_G1,
DEU_LocationAUpper-25_31_T-1,11,R_G1,
DEU_LocationBUpper-3_48_T-1,6,R_G1,
DEU_LocationAUpper-47_49_T-1,14,R_G1,
DEU_LocationAUpper-47_49_T-1,18,R_G1,
DEU_LocationAUpper-35_11_T-1,10,R_G1,
DEU_LocationAUpper-35_11_T-1,12,R_G1,
DEU_LocationALower-11_14_T-1,20,R_G1,
DEU_LocationALower-33_29_T-1,22,R_G1,
DEU_LocationAUpper-28_13_T-1,13,R_G1,
DEU_LocationAUpper-35_24_T-1,23,R_G1,
DEU_LocationALower-13_44_T-1,18,R_G1,
DEU_LocationALower-26_40_T-1,18,R_G1,
DEU_LocationALower-14_38_T-1,19,R_G1,
DEU_LocationALower-57_29_T-1,12,R_G1,
DEU_LocationAUpper-35_31_T-1,15,R_G1,
DEU_LocationEUpper-19_40_T-1,16,R_G1,
DEU_LocationAUpper-26_26_T-1,14,R_G1,
DEU_LocationALower-57_20_T-1,22,R_G1,
DEU_LocationALower-12_35_T-1,18,R_G1,
DEU_LocationAUpper-38_56_T-1,13,R_G1,
DEU_LocationALower-57_23_T-1,13,R_G1,
DEU_LocationALower-33_49_T-1,15,R_G1,
DEU_LocationDLower-10_9_T-1,19,R_G1,
DEU_LocationAUpper-41_27_T-1,19,R_G1,
DEU_LocationAUpper-41_27_T-1,24,R_G1,
DEU_LocationALower-57_30_T-1,18,R_G1,
DEU_LocationFLower-58_3_T-1,13,R_G1,
DEU_LocationFLower-58_12_T-1,10,R_G1,
DEU_LocationALower-25_30_T-1,23,R_G1,
DEU_LocationFUpper-60_6_T-1,12,R_G1,
DEU_LocationCLower-6_45_T-1,9,R_G1,
DEU_LocationAUpper-48_7_T-1,15,R_G1,
DEU_LocationALower-56_22_T-1,16,R_G1,
DEU_LocationAUpper-11_8_T-1,32,R_G1,
DEU_LocationALower-56_41_T-1,18,R_G1,
DEU_LocationALower-54_5_T-1,14,R_G1,
DEU_LocationALower-54_5_T-1,26,R_G1,
DEU_LocationALower-35_44_T-1,21,R_G1,
DEU_LocationALower-13_27_T-1,12,R_G1,
DEU_LocationALower-50_56_T-1,17,R_G1,
DEU_LocationAUpper-38_46_T-1,13,R_G1,
DEU_LocationALower-56_27_T-1,24,R_G1,
DEU_LocationALower-51_11_T-1,15,R_G1,
DEU_LocationAUpper-25_42_T-1,20,R_G1,
DEU_LocationEUpper-24_39_T-1,12,R_G1,
DEU_LocationAUpper-26_28_T-1,25,R_G1,
DEU_LocationAUpper-26_28_T-1,26,R_G1,
DEU_LocationAUpper-48_25_T-1,16,R_G1,
DEU_LocationAUpper-48_25_T-1,19,R_G1,
DEU_LocationALower-46_33_T-1,24,R_G1,
DEU_LocationALower-44_50_T-1,22,R_G1,
DEU_LocationAUpper-43_32_T-1,24,R_G1,
DEU_LocationALower-50_4_T-1,15,R_G1,
DEU_LocationAUpper-50_7_T-1,16,R_G1,
DEU_LocationAUpper-12_43_T-1,27,R_G1,
DEU_LocationAUpper-12_43_T-1,28,R_G1,
DEU_LocationAUpper-33_10_T-1,19,R_G1,
DEU_LocationAUpper-45_22_T-1,17,R_G1,
DEU_LocationFUpper-60_18_T-1,12,R_G1,
DEU_LocationALower-42_43_T-1,16,R_G1,
DEU_LocationALower-39_31_T-1,12,R_G1,
DEU_LocationALower-14_11_T-1,20,R_G1,
DEU_LocationALower-14_11_T-1,22,R_G1,
DEU_LocationALower-30_19_T-1,13,R_G1,
DEU_LocationAUpper-53_19_T-1,22,R_G1,
DEU_LocationAUpper-13_11_T-1,18,R_G1,
DEU_LocationAUpper-35_26_T-1,16,R_G1,
DEU_LocationAUpper-26_29_T-1,14,R_G2,1
DEU_LocationAUpper-26_29_T-1,19,R_G2,
DEU_LocationAUpper-36_8_T-1,10,R_G2,
DEU_LocationAUpper-36_8_T-1,11,R_G2,
DEU_LocationAUpper-36_8_T-1,14,R_G2,
DEU_LocationAUpper-36_8_T-1,19,R_G2,
DEU_LocationALower-33_39_T-1,25,R_G2,
DEU_LocationELower-15_33_T-1,8,R_G2,
DEU_LocationEUpper-23_33_T-1,7,R_G2,
DEU_LocationELower-16_20_T-1,8,R_G2,
DEU_LocationALower-26_48_T-1,20,R_G2,
DEU_LocationAUpper-11_11_T-1,21,R_G2,
DEU_LocationAUpper-11_11_T-1,24,R_G2,
DEU_LocationALower-37_18_T-1,9,R_G2,
DEU_LocationAUpper-26_1_T-1,36,R_G2,
DEU_LocationAUpper-36_38_T-1,17,R_G2,
DEU_LocationELower-15_8_T-1,16,R_G2,
DEU_LocationALower-26_50_T-1,28,R_G2,
DEU_LocationAUpper-36_54_T-1,20,R_G2,
DEU_LocationAUpper-36_54_T-1,25,R_G2,
DEU_LocationALower-49_35_T-1,16,R_G2,
DEU_LocationALower-25_56_T-1,8,R_G2,
DEU_LocationALower-25_56_T-1,17,R_G2,
DEU_LocationELower-18_22_T-1,5,R_G2,
DEU_LocationALower-34_13_T-1,15,R_G2,
DEU_LocationALower-49_30_T-1,14,R_G2,
DEU_LocationALower-49_30_T-1,16,R_G2,
DEU_LocationAUpper-26_9_T-1,45,R_G2,
DEU_LocationALower-50_26_T-1,13,R_G2,
DEU_LocationAUpper-26_41_T-1,21,R_G2,
DEU_LocationAUpper-26_30_T-1,10,R_G2,
DEU_LocationEUpper-24_5_T-1,9,R_G2,
DEU_LocationALower-35_29_T-1,10,R_G2,
DEU_LocationALower-39_3_T-1,9,R_G2,
DEU_LocationALower-26_29_T-1,24,R_G2,
DEU_LocationAUpper-36_53_T-1,21,R_G2,
DEU_LocationALower-35_39_T-1,14,R_G2,
DEU_LocationALower-53_23_T-1,8,R_G2,
DEU_LocationAUpper-36_9_T-1,11,R_G2,
DEU_LocationAUpper-36_9_T-1,16,R_G2,
DEU_LocationAUpper-36_37_T-1,10,R_G2,
DEU_LocationAUpper-36_28_T-1,7,R_G2,
DEU_LocationAUpper-26_44_T-1,24,R_G2,
DEU_LocationAUpper-12_19_T-1,32,R_G2,
DEU_LocationAUpper-36_60_T-1,24,R_G2,
DEU_LocationAUpper-36_60_T-1,25,R_G2,
DEU_LocationELower-18_15_T-1,5,R_G2,
DEU_LocationAUpper-36_46_T-1,20,R_G2,
DEU_LocationAUpper-26_37_T-1,22,R_G2,
DEU_LocationALower-38_10_T-1,21,R_G2,
DEU_LocationALower-26_49_T-1,35,R_G2,
DEU_LocationAUpper-36_48_T-1,16,R_G2,
DEU_LocationAUpper-36_30_T-1,10,R_G2,
DEU_LocationAUpper-36_30_T-1,16,R_G2,
DEU_LocationAUpper-36_10_T-1,12,R_G2,
DEU_LocationALower-34_1_T-1,12,R_G2,
DEU_LocationAUpper-36_49_T-1,7,R_G2,
DEU_LocationAUpper-36_49_T-1,8,R_G2,
DEU_LocationAUpper-36_7_T-1,22,R_G2,
DEU_LocationAUpper-26_32_T-1,19,R_G2,
DEU_LocationAUpper-26_32_T-1,20,R_G2,
DEU_LocationAUpper-13_10_T-1,12,R_G2,
DEU_LocationAUpper-13_10_T-1,14,R_G2,
DEU_LocationAUpper-36_61_T-1,24,R_G2,
DEU_LocationAUpper-36_61_T-1,26,R_G2,
DEU_LocationELower-16_22_T-1,9,R_G2,
DEU_LocationAUpper-36_62_T-1,38,R_G2,
DEU_LocationAUpper-36_6_T-1,7,R_G2,
DEU_LocationEUpper-16_19_T-1,3,R_G2,
DEU_LocationALower-51_31_T-1,17,R_G2,
DEU_LocationALower-51_31_T-1,21,R_G2,
DEU_LocationEUpper-23_23_T-1,4,R_G2,
DEU_LocationAUpper-36_8_T-1,6,R_G2,
DEU_LocationAUpper-36_8_T-1,8,R_G2,
DEU_LocationAUpper-36_8_T-1,9,R_G2,
DEU_LocationAUpper-36_8_T-1,16,R_G2,
