scenario_name,ego_id,violated_rules,rule_to_tv,lanelet_assigned_steps,raw_violated_rules,raw_rule_to_tv
DEU_MONAMerge-2_10005280_T-5299.xml,14224,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10005280_T-5299.xml,14238,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10005380_T-5399.xml,14301,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10005380_T-5399.xml,14303,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_1000540_T-559.xml,10565,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_1000540_T-559.xml,10567,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10005460_T-5479.xml,14384,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10005480_T-5499.xml,14400,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10005480_T-5499.xml,14412,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10005520_T-5539.xml,14429,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10005540_T-5559.xml,14437,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10005540_T-5559.xml,14440,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10005840_T-5859.xml,14623,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10005860_T-5879.xml,14647,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10006000_T-6019.xml,14754,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10006080_T-6099.xml,14780,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10006080_T-6099.xml,14789,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10006100_T-6119.xml,14801,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10006120_T-6139.xml,14815,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10006160_T-6179.xml,14836,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10006160_T-6179.xml,14844,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10006200_T-6219.xml,14857,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_1000640_T-659.xml,10665,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10006480_T-6499.xml,15037,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10006480_T-6499.xml,15038,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10006660_T-6679.xml,15184,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10006660_T-6679.xml,15192,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10006660_T-6679.xml,15200,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10006820_T-6839.xml,15281,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10007040_T-7059.xml,15491,R_G1,R_G1:6,20,R_G1,R_G1:6
DEU_MONAMerge-2_10007160_T-7179.xml,15645,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10007240_T-7259.xml,15774,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_1000840_T-859.xml,10847,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_1000980_T-999.xml,10963,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_1001100_T-119.xml,10081,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_1001100_T-119.xml,10090,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10011100_T-1119.xml,10920,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10011100_T-1119.xml,10932,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10011120_T-1139.xml,10951,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10011180_T-1199.xml,11007,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_1001120_T-139.xml,10100,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10006000_T-6019.xml,14755,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10011320_T-1339.xml,11096,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10011320_T-1339.xml,11115,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10011480_T-1499.xml,11204,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10011480_T-1499.xml,11207,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10011620_T-1639.xml,11281,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10011740_T-1759.xml,11415,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10012000_T-2019.xml,11629,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10012140_T-2159.xml,11765,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10012340_T-2359.xml,11910,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10012340_T-2359.xml,11914,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10012440_T-2459.xml,11988,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10012580_T-2599.xml,12145,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10012580_T-2599.xml,12146,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10012740_T-2759.xml,12269,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10012840_T-2859.xml,12342,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10012900_T-2919.xml,12367,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10012900_T-2919.xml,12368,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10012940_T-2959.xml,12389,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10012940_T-2959.xml,12390,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10013040_T-3059.xml,12459,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10013040_T-3059.xml,12462,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10013100_T-3119.xml,12489,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10013200_T-3219.xml,12548,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10013220_T-3239.xml,12575,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10013360_T-3379.xml,12647,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10013360_T-3379.xml,12652,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_1001340_T-359.xml,10266,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_1001340_T-359.xml,10268,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10013640_T-3659.xml,12867,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10013820_T-3839.xml,12974,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10013820_T-3839.xml,12984,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10013840_T-3859.xml,12993,R_G1,R_G1:6,20,R_G1,R_G1:6
DEU_MONAMerge-2_10013840_T-3859.xml,12996,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10013840_T-3859.xml,12998,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10013860_T-3879.xml,13031,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10014020_T-4039.xml,13093,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_100140_T-59.xml,10043,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10014240_T-4259.xml,13177,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10014240_T-4259.xml,13179,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10014240_T-4259.xml,13187,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10014320_T-4339.xml,13281,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10014340_T-4359.xml,13285,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_1001440_T-459.xml,10375,R_G1,R_G1:6,20,R_G1,R_G1:6
DEU_MONAMerge-2_1001440_T-459.xml,10391,R_G1,R_G1:6,20,R_G1,R_G1:6
DEU_MONAMerge-2_10014440_T-4459.xml,13399,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10014440_T-4459.xml,13401,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10014440_T-4459.xml,13404,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10014540_T-4559.xml,13460,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10014540_T-4559.xml,13462,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10014700_T-4719.xml,13530,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10014700_T-4719.xml,13554,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10014760_T-4779.xml,13599,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10014800_T-4819.xml,13641,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10014800_T-4819.xml,13648,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10014880_T-4899.xml,13708,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10014920_T-4939.xml,13728,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10015060_T-5079.xml,13816,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10015080_T-5099.xml,13830,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10015100_T-5119.xml,13838,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10015200_T-5219.xml,13920,R_G1,R_G1:18,20,R_G1,R_G1:18
DEU_MONAMerge-2_10015220_T-5239.xml,13940,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10015240_T-5259.xml,13956,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10015260_T-5279.xml,13962,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10015280_T-5299.xml,13989,R_G1,R_G1:11,20,R_G1,R_G1:11
DEU_MONAMerge-2_10015300_T-5319.xml,14016,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10015320_T-5339.xml,14022,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10015320_T-5339.xml,14026,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10015440_T-5459.xml,14104,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10015440_T-5459.xml,14106,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10015580_T-5599.xml,14288,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10015660_T-5679.xml,14317,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10015680_T-5699.xml,14332,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10015700_T-5719.xml,14366,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10015780_T-5799.xml,14452,R_G1,R_G1:14,20,R_G1,R_G1:14
DEU_MONAMerge-2_10015800_T-5819.xml,14471,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10015880_T-5899.xml,14541,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10015900_T-5919.xml,14554,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10016040_T-6059.xml,14640,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10016060_T-6079.xml,14645,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10016080_T-6099.xml,14640,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10016080_T-6099.xml,14683,R_G1,R_G1:10,20,R_G1,R_G1:10
DEU_MONAMerge-2_10016120_T-6139.xml,14684,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10016120_T-6139.xml,14696,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10016140_T-6159.xml,14717,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10016300_T-6319.xml,14855,R_G1,R_G1:16,20,R_G1,R_G1:16
DEU_MONAMerge-2_10016400_T-6419.xml,14921,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10016440_T-6459.xml,14949,R_G1,R_G1:8,20,R_G1,R_G1:8
DEU_MONAMerge-2_10016480_T-6499.xml,14989,R_G1;R_G3,R_G1:12;R_G3:11,20,R_G1;R_G3,R_G1:12;R_G3:11
DEU_MONAMerge-2_10016640_T-6659.xml,15144,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10016680_T-6699.xml,15211,R_G1,R_G1:9,20,R_G1,R_G1:9
DEU_MONAMerge-2_10016700_T-6719.xml,15231,R_G1,R_G1:17,20,R_G1,R_G1:17
DEU_MONAMerge-2_10016720_T-6739.xml,15261,R_G1,R_G1:13,20,R_G1,R_G1:13
DEU_MONAMerge-2_10016740_T-6759.xml,15267,R_G1,R_G1:12,20,R_G1,R_G1:12
DEU_MONAMerge-2_10016800_T-6819.xml,15301,R_G1,R_G1:19,20,R_G1,R_G1:19
DEU_MONAMerge-2_10016800_T-6819.xml,15314,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10016880_T-6899.xml,15387,R_G1,R_G1:7,20,R_G1,R_G1:7
DEU_MONAMerge-2_10016900_T-6919.xml,15392,R_G1,R_G1:15,20,R_G1,R_G1:15
DEU_MONAMerge-2_10016960_T-6979.xml,15412,R_G1,R_G1:6,20,R_G1,R_G1:6
DEU_MONAMerge-2_10016960_T-6979.xml,15418,R_G1,R_G1:16,20,R_G1,R_G1:16
