,,R_IN1,R_IN3,R_IN4,R_IN5
DEU_AAH1-2_125700_T-5849,10056,1.0,1.0,-1.0,1.0
DEU_AAH1-2_77050_T-7199,10065,1.0,1.0,-1.0,1.0
DEU_AAH1-2_118550_T-8699,10108,1.0,1.0,-1.0,1.0
DEU_AAH1-2_129300_T-9449,10102,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_9600_T-749,10010,1.0,1.0,-1.0,1.0
DEU_AAH1-2_162550_T-2699,10046,1.0,1.0,-1.0,1.0
DEU_AAH1-2_142850_T-2999,10038,1.0,1.0,-1.0,1.0
DEU_AAH1-2_176000_T-6149,10093,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_913950_T-14099,10163,1.0,1.0,-1.0,1.0
DEU_AAH1-2_164650_T-4799,10082,1.0,1.0,-1.0,1.0
DEU_AAH1-2_162700_T-2849,10046,1.0,1.0,-1.0,1.0
DEU_AAH1-2_148250_T-8399,10098,1.0,1.0,-1.0,1.0
DEU_AAH1-2_814550_T-14699,10226,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_815450_T-15599,10234,1.0,1.0,-1.0,1.0
DEU_AAH1-2_722350_T-22499,10168,1.0,1.0,-1.0,1.0
DEU_AAH1-2_161350_T-1499,10033,1.0,1.0,-1.0,1.0
DEU_AAH1-2_163150_T-3299,10046,1.0,1.0,-1.0,1.0
DEU_AAH1-2_159300_T-9449,10123,1.0,1.0,-1.0,1.0
DEU_AAH1-2_147800_T-7949,10098,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_136900_T-7049,10105,1.0,1.0,-1.0,1.0
DEU_AAH1-2_813500_T-13649,10197,1.0,1.0,-1.0,1.0
DEU_AAH1-2_711700_T-11849,10096,1.0,1.0,-1.0,1.0
DEU_AAH1-2_914250_T-14399,10171,1.0,1.0,-1.0,1.0
DEU_AAH1-2_142550_T-2699,10033,1.0,1.0,-1.0,1.0
DEU_AAH1-2_177650_T-7799,10118,1.0,1.0,-1.0,1.0
DEU_AAH1-2_817850_T-17999,10270,1.0,1.0,-1.0,1.0
DEU_AAH1-2_147950_T-8099,10098,1.0,1.0,-1.0,1.0
DEU_AAH1-2_148400_T-8549,10098,1.0,1.0,-1.0,1.0
DEU_AAH1-2_142700_T-2849,10033,1.0,1.0,-1.0,1.0
DEU_AAH1-2_824150_T-24299,10377,1.0,1.0,-1.0,1.0
DEU_AAH1-2_163300_T-3449,10046,1.0,1.0,-1.0,1.0
DEU_AAH1-2_722500_T-22649,10173,1.0,1.0,-1.0,1.0
DEU_AAH1-2_911250_T-11399,10121,1.0,1.0,-1.0,1.0
DEU_AAH1-2_161500_T-1649,10037,1.0,1.0,-1.0,1.0
DEU_AAH1-2_159150_T-9299,10123,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_137800_T-7949,10118,1.0,1.0,-1.0,1.0
DEU_AAH1-2_815000_T-15149,10226,1.0,1.0,-1.0,1.0
DEU_AAH1-2_146450_T-6599,10078,1.0,1.0,-1.0,1.0
DEU_AAH1-2_166600_T-6749,10115,1.0,1.0,-1.0,1.0
DEU_AAH1-2_163450_T-3599,10046,1.0,1.0,-1.0,1.0
DEU_AAH1-2_165250_T-5399,10093,1.0,1.0,-1.0,1.0
DEU_AAH1-2_177800_T-7949,10118,1.0,1.0,-1.0,1.0
DEU_AAH1-2_817700_T-17849,10270,1.0,1.0,-1.0,1.0
DEU_AAH1-2_175250_T-5399,10081,1.0,1.0,-1.0,1.0
DEU_AAH1-2_146600_T-6749,10078,1.0,1.0,-1.0,1.0
DEU_AAH1-2_144200_T-4349,10055,1.0,1.0,-1.0,1.0
DEU_AAH1-2_816500_T-16649,10249,1.0,1.0,-1.0,1.0
DEU_AAH1-2_821300_T-21449,10324,1.0,1.0,-1.0,1.0
DEU_AAH1-2_911700_T-11849,10140,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_725800_T-25949,10203,1.0,1.0,-1.0,1.0
DEU_AAH1-2_167500_T-7649,10116,1.0,1.0,-1.0,1.0
DEU_AAH1-2_148100_T-8249,10098,1.0,1.0,-1.0,1.0
DEU_AAH1-2_159450_T-9599,10123,1.0,1.0,-1.0,1.0
DEU_AAH1-2_814700_T-14849,10226,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1216800_T-16949,10211,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1222200_T-22349,10266,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1017400_T-17549,10202,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1017400_T-17549,10204,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1120550_T-20699,10272,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1211700_T-11849,10137,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1122350_T-22499,10301,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1310950_T-11099,10157,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1220850_T-20999,10266,1.0,1.0,-1.0,1.0
DEU_AAH1-2_918450_T-18599,10222,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1227150_T-27299,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1311400_T-11549,10164,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1316200_T-16349,10221,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1016350_T-16499,10190,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1014250_T-14399,10171,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1323550_T-23699,10324,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1228050_T-28171,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1418600_T-18749,10284,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1225650_T-25799,10342,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1219350_T-19499,10245,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1121750_T-21899,10284,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1313650_T-13799,10181,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1117550_T-17699,10231,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1311100_T-11249,10158,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1322500_T-22649,10315,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1225500_T-25649,10342,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1322650_T-22799,10315,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1020400_T-20549,10245,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1220700_T-20849,10266,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1319350_T-19499,10280,1.0,1.0,-1.0,1.0
DEU_AAH1-2_916200_T-16349,10191,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1417400_T-17549,10259,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1313500_T-13649,10181,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1313500_T-13649,10188,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1120250_T-20399,10268,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1324600_T-24749,10348,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1311250_T-11399,10158,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1311250_T-11399,10162,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1317250_T-17399,10233,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1313800_T-13949,10181,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1227900_T-28049,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1317100_T-17249,10233,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1010800_T-10949,10126,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1225950_T-26099,10342,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1417550_T-17699,10259,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1227000_T-27149,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1418750_T-18899,10284,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1227300_T-27449,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1227750_T-27899,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1314550_T-14699,10204,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1318450_T-18599,10271,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1212000_T-12149,10137,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1210650_T-10799,10119,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1211550_T-11699,10134,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1220550_T-20699,10266,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1211850_T-11999,10137,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1117700_T-17849,10231,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1117700_T-17849,10237,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1316950_T-17099,10233,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1122050_T-22199,10297,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1318300_T-18449,10262,1.0,1.0,-1.0,1.0
DEU_AAH1-2_918150_T-18299,10217,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1113200_T-13349,10172,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1324450_T-24599,10335,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1225200_T-25349,10338,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1514400_T-14549,10184,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1514400_T-14549,10190,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1425050_T-25120,10367,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1721600_T-21749,10315,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1715150_T-15299,10220,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1618300_T-18449,10265,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1514100_T-14249,10184,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1423250_T-23399,10351,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1625200_T-25349,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1625200_T-25349,10374,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1618600_T-18749,10267,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1526550_T-26699,10340,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1625500_T-25649,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1624150_T-24299,10361,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1624900_T-25049,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1624900_T-25049,10374,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1716200_T-16349,10235,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1513050_T-13199,10164,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1424900_T-25049,10369,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1424900_T-25049,10367,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1519050_T-19199,10239,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1419050_T-19199,10284,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1625350_T-25499,10371,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1625350_T-25499,10374,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1721450_T-21599,10315,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1625050_T-25199,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1625050_T-25199,10374,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1710200_T-10349,10151,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1618750_T-18899,10267,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1521750_T-21899,10277,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1617100_T-17249,10250,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1514550_T-14699,10184,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1424600_T-24749,10367,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1716350_T-16499,10235,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1719200_T-19349,10275,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1719200_T-19349,10279,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1626250_T-26399,10399,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1721300_T-21449,10315,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1624750_T-24899,10371,1.0,1.0,-1.0,1.0
DEU_AAH1-2_1712600_T-12749,10191,1.0,1.0,-1.0,1.0
DEU_AAH-2_251350_T-1499,10042,1.0,1.0,-1.0,1.0
DEU_AAH-2_2023550_T-23699,10366,1.0,1.0,-1.0,1.0
DEU_AAH-2_2130300_T-30449,10529,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2222650_T-22799,10421,1.0,1.0,-1.0,1.0
DEU_AAH-2_211650_T-1799,10039,1.0,1.0,-1.0,1.0
DEU_AAH-2_279450_T-9599,10196,1.0,1.0,-1.0,1.0
DEU_AAH-2_229150_T-9299,10193,1.0,1.0,-1.0,1.0
DEU_AAH-2_1824900_T-25049,10373,1.0,1.0,-1.0,1.0
DEU_AAH-2_239300_T-9449,10176,1.0,1.0,-1.0,1.0
DEU_AAH-2_2228200_T-28349,10507,1.0,1.0,-1.0,1.0
DEU_AAH-2_21150_T-299,10023,1.0,1.0,-1.0,1.0
DEU_AAH-2_2518150_T-18299,10322,1.0,1.0,-1.0,1.0
DEU_AAH-2_275400_T-5549,10116,1.0,1.0,-1.0,1.0
DEU_AAH-2_2526100_T-26249,10460,1.0,1.0,-1.0,1.0
DEU_AAH-2_251200_T-1349,10041,1.0,1.0,-1.0,1.0
DEU_AAH-2_221950_T-2099,10068,1.0,1.0,-1.0,1.0
DEU_AAH-2_226900_T-7049,10158,1.0,1.0,-1.0,1.0
DEU_AAH-2_2215900_T-16049,10294,1.0,1.0,-1.0,1.0
DEU_AAH-2_2113350_T-13499,10246,1.0,1.0,-1.0,1.0
DEU_AAH-2_295400_T-5549,10128,1.0,1.0,-1.0,1.0
DEU_AAH-2_233600_T-3749,10080,1.0,1.0,-1.0,1.0
DEU_AAH-2_2215300_T-15449,10286,1.0,1.0,-1.0,1.0
DEU_AAH-2_2215300_T-15449,10294,1.0,1.0,-1.0,1.0
DEU_AAH-2_254200_T-4349,10098,1.0,1.0,-1.0,1.0
DEU_AAH-2_1819200_T-19349,10286,1.0,1.0,-1.0,1.0
DEU_AAH-2_245400_T-5549,10127,1.0,1.0,-1.0,1.0
DEU_AAH-2_251650_T-1799,10041,1.0,1.0,-1.0,1.0
DEU_AAH-2_2610650_T-10799,10207,1.0,1.0,-1.0,1.0
DEU_AAH-2_2219050_T-19199,10357,1.0,1.0,-1.0,1.0
DEU_AAH-2_2511550_T-11699,10210,1.0,1.0,-1.0,1.0
DEU_AAH-2_1822500_T-22649,10343,1.0,1.0,-1.0,1.0
DEU_AAH-2_262550_T-2699,10065,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2215450_T-15599,10294,1.0,1.0,-1.0,1.0
DEU_AAH-2_2220400_T-20549,10379,1.0,1.0,-1.0,1.0
DEU_AAH-2_262700_T-2849,10060,1.0,1.0,-1.0,1.0
DEU_AAH-2_2130900_T-31049,10544,1.0,1.0,-1.0,1.0
DEU_AAH-2_2929400_T-29549,10564,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2923250_T-23399,10445,1.0,1.0,-1.0,1.0
DEU_AAH-2_2921000_T-21149,10402,1.0,1.0,-1.0,1.0
DEU_AAH-2_2830000_T-30149,10512,1.0,1.0,-1.0,1.0
DEU_AAH-2_2630750_T-30899,10510,1.0,1.0,-1.0,1.0
DEU_AAH-2_2932100_T-32249,10603,1.0,1.0,-1.0,1.0
DEU_AAH-2_2827150_T-27299,10465,1.0,1.0,-1.0,1.0
DEU_AAH-2_2825800_T-25949,10438,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2932400_T-32482,10603,1.0,1.0,-1.0,1.0
DEU_AAH-2_2928950_T-29099,10552,1.0,1.0,-1.0,1.0
DEU_AAH-2_2826700_T-26849,10457,1.0,1.0,-1.0,1.0
DEU_AAH-2_2621450_T-21599,10382,1.0,1.0,-1.0,1.0
DEU_AAH-2_2621450_T-21599,10383,1.0,1.0,-1.0,1.0
