scenario_id,ego_id,rule_STL,
DEU_LocationALower-33_219_T-1,8,R_G1,
DEU_LocationALower-33_228_T-1,14,R_G1,
DEU_LocationALower-33_233_T-1,14,R_G1,
DEU_LocationALower-33_261_T-1,13,R_G1,
DEU_LocationALower-33_265_T-1,22,R_G1,
DEU_LocationALower-33_96_T-1,9,R_G1,
DEU_LocationALower-34_120_T-1,17,R_G1,
DEU_LocationALower-34_146_T-1,14,R_G1,
DEU_LocationALower-34_147_T-1,16,R_G1,
DEU_LocationALower-34_163_T-1,15,R_G1,
DEU_LocationALower-34_179_T-1,15,R_G1,
DEU_LocationALower-34_37_T-1,9,R_G1,
DEU_LocationALower-34_49_T-1,10,R_G1,
DEU_LocationALower-34_96_T-1,14,R_G1,
DEU_LocationALower-35_126_T-1,20,R_G1,
DEU_LocationALower-35_263_T-1,12,R_G1,
DEU_LocationALower-35_34_T-1,19,R_G1,
DEU_LocationALower-36_113_T-1,14,R_G1,
DEU_LocationALower-36_123_T-1,15,R_G1,
DEU_LocationALower-36_208_T-1,8,R_G1,
DEU_LocationALower-13_149_T-1,8,R_G3,
DEU_LocationALower-13_149_T-1,25,R_G3,
DEU_LocationALower-57_247_T-1,13,R_G3,
DEU_LocationALower-57_247_T-1,21,R_G3,
DEU_LocationALower-13_134_T-1,13,R_G3,
DEU_LocationALower-13_134_T-1,15,R_G3,
DEU_LocationALower-13_134_T-1,21,R_G3,
DEU_LocationALower-39_283_T-1,6,R_G3,
DEU_LocationAUpper-34_28_T-1,16,R_G3,
DEU_LocationALower-40_285_T-1,19,R_G3,
DEU_LocationALower-30_124_T-1,8,R_G3,
DEU_LocationALower-54_151_T-1,10,R_G3,
DEU_LocationALower-54_79_T-1,13,R_G3,
DEU_LocationALower-27_139_T-1,10,R_G3,
DEU_LocationALower-55_133_T-1,13,R_G3,
DEU_LocationALower-13_238_T-1,7,R_G3,
DEU_LocationALower-13_238_T-1,16,R_G3,
DEU_LocationALower-52_239_T-1,10,R_G3,
DEU_LocationALower-54_157_T-1,12,R_G3,
DEU_LocationALower-45_184_T-1,20,R_G3,
DEU_LocationALower-45_184_T-1,22,R_G3,
DEU_LocationAUpper-29_46_T-1,9,R_G3,
DEU_LocationAUpper-34_29_T-1,8,R_G3,
DEU_LocationALower-53_191_T-1,22,R_G3,
DEU_LocationALower-39_230_T-1,14,R_G3,
DEU_LocationALower-39_230_T-1,20,R_G3,
DEU_LocationALower-11_49_T-1,8,R_G3,
DEU_LocationAUpper-47_178_T-1,14,R_G3,
DEU_LocationELower-19_84_T-1,4,R_G3,
DEU_LocationALower-14_256_T-1,10,R_G3,
DEU_LocationALower-48_3_T-1,6,R_G3,
DEU_LocationALower-34_3_T-1,17,R_G3,
DEU_LocationALower-32_49_T-1,14,R_G3,
DEU_LocationALower-32_109_T-1,11,R_G3,
DEU_LocationALower-42_95_T-1,20,R_G3,
DEU_LocationALower-42_95_T-1,22,R_G3,
DEU_LocationALower-42_95_T-1,24,R_G3,
DEU_LocationAUpper-28_96_T-1,10,R_G3,
DEU_LocationALower-52_66_T-1,15,R_G3,
DEU_LocationALower-52_66_T-1,17,R_G3,
DEU_LocationALower-46_269_T-1,15,R_G3,
DEU_LocationALower-39_229_T-1,11,R_G3,
DEU_LocationALower-39_229_T-1,15,R_G3,
DEU_LocationALower-39_229_T-1,18,R_G3,
DEU_LocationALower-27_164_T-1,19,R_G3,
DEU_LocationCUpper-4_46_T-1,12,R_G1,R_G3
DEU_LocationAUpper-52_189_T-1,13,R_G3,
DEU_LocationELower-15_88_T-1,9,R_G3,
DEU_LocationELower-15_88_T-1,11,R_G3,
DEU_LocationALower-13_128_T-1,6,R_G3,
DEU_LocationALower-45_266_T-1,11,R_G3,
DEU_LocationALower-45_266_T-1,14,R_G3,
DEU_LocationALower-54_5_T-1,10,R_G3,
DEU_LocationALower-44_129_T-1,8,R_G3,
DEU_LocationALower-44_129_T-1,9,R_G3,
DEU_LocationALower-43_149_T-1,10,R_G3,
DEU_LocationALower-43_149_T-1,11,R_G3,
DEU_LocationALower-43_149_T-1,12,R_G3,
DEU_LocationALower-43_149_T-1,22,R_G3,
DEU_LocationAUpper-28_252_T-1,8,R_G3,
DEU_LocationELower-16_50_T-1,8,R_G3,
DEU_LocationFLower-60_41_T-1,6,R_G3,
DEU_LocationAUpper-27_282_T-1,11,R_G1,R_G3
DEU_LocationBLower-3_152_T-1,4,R_G3,
DEU_LocationALower-44_130_T-1,8,R_G3,
DEU_LocationALower-46_245_T-1,13,R_G3,
DEU_LocationALower-12_129_T-1,13,R_G3,
DEU_LocationAUpper-13_71_T-1,12,R_G3,
DEU_LocationALower-50_64_T-1,8,R_G3,
DEU_LocationAUpper-51_163_T-1,16,R_G3,
DEU_LocationALower-38_8_T-1,16,R_G3,
DEU_LocationALower-38_8_T-1,18,R_G3,
DEU_LocationAUpper-33_157_T-1,10,R_G3,
DEU_LocationAUpper-33_157_T-1,12,R_G3,
DEU_LocationALower-44_74_T-1,17,R_G3,
DEU_LocationALower-44_74_T-1,27,R_G3,
DEU_LocationALower-44_74_T-1,30,R_G3,
DEU_LocationAUpper-27_195_T-1,6,R_G3,
DEU_LocationALower-30_69_T-1,10,R_G3,
DEU_LocationALower-35_116_T-1,8,R_G3,
DEU_LocationALower-39_128_T-1,19,R_G3,
DEU_LocationALower-37_99_T-1,13,R_G3,
DEU_LocationALower-37_99_T-1,23,R_G3,
DEU_LocationELower-18_94_T-1,5,R_G3,
DEU_LocationELower-18_94_T-1,10,R_G3,
DEU_LocationAUpper-28_193_T-1,11,R_G3,
DEU_LocationAUpper-28_193_T-1,13,R_G3,
DEU_LocationALower-47_208_T-1,11,R_G3,
DEU_LocationALower-47_208_T-1,14,R_G3,
DEU_LocationALower-12_193_T-1,7,R_G3,
DEU_LocationAUpper-35_81_T-1,9,R_G3,
DEU_LocationALower-42_184_T-1,10,R_G3,
DEU_LocationALower-42_184_T-1,11,R_G3,
DEU_LocationALower-42_184_T-1,16,R_G3,
DEU_LocationAUpper-30_221_T-1,14,R_G3,
DEU_LocationALower-49_164_T-1,11,R_G3,
DEU_LocationCLower-5_28_T-1,7,R_G3,
DEU_LocationALower-44_174_T-1,8,R_G3,
DEU_LocationAUpper-52_240_T-1,21,R_G3,
DEU_LocationAUpper-30_52_T-1,5,R_G3,
DEU_LocationALower-54_174_T-1,8,R_G3,
DEU_LocationALower-54_174_T-1,14,R_G3,
DEU_LocationALower-54_174_T-1,21,R_G3,
DEU_LocationCLower-4_143_T-1,8,R_G3,
DEU_LocationFLower-59_19_T-1,14,R_G3,
DEU_LocationALower-44_275_T-1,6,R_G1,R_G3
DEU_LocationALower-34_124_T-1,6,R_G3,
DEU_LocationALower-34_124_T-1,10,R_G3,
DEU_LocationALower-14_247_T-1,16,R_G1,R_G3
DEU_LocationALower-40_15_T-1,19,R_G3,
DEU_LocationALower-49_55_T-1,9,R_G3,
DEU_LocationALower-49_55_T-1,12,R_G3,
DEU_LocationALower-49_55_T-1,15,R_G3,
DEU_LocationALower-40_121_T-1,18,R_G3,
DEU_LocationALower-38_48_T-1,13,R_G3,
DEU_LocationCLower-5_122_T-1,8,R_G3,
DEU_LocationALower-40_162_T-1,10,R_G3,
DEU_LocationALower-40_162_T-1,13,R_G3,
DEU_LocationALower-30_21_T-1,11,R_G3,
DEU_LocationALower-30_21_T-1,12,R_G3,
DEU_LocationALower-30_21_T-1,13,R_G3,
DEU_LocationALower-45_201_T-1,12,R_G3,
DEU_LocationALower-45_201_T-1,13,R_G1,R_G3
DEU_LocationALower-47_221_T-1,15,R_G3,
DEU_LocationALower-54_178_T-1,11,R_G3,
DEU_LocationALower-43_184_T-1,12,R_G3,
DEU_LocationALower-43_184_T-1,13,R_G3,
DEU_LocationAUpper-34_106_T-1,7,R_G3,
DEU_LocationAUpper-27_244_T-1,9,R_G3,
DEU_LocationALower-35_14_T-1,10,R_G3,
DEU_LocationALower-52_55_T-1,17,R_G3,
DEU_LocationAUpper-27_223_T-1,15,R_G3,
DEU_LocationALower-33_241_T-1,9,R_G3,
DEU_LocationALower-56_138_T-1,10,R_G3,
DEU_LocationALower-56_138_T-1,11,R_G1,R_G3
DEU_LocationALower-56_138_T-1,12,R_G3,
DEU_LocationALower-56_138_T-1,13,R_G3,
DEU_LocationALower-56_138_T-1,18,R_G3,
DEU_LocationALower-56_138_T-1,20,R_G3,
DEU_LocationALower-56_138_T-1,21,R_G3,
DEU_LocationALower-43_240_T-1,15,R_G3,
DEU_LocationALower-43_240_T-1,21,R_G3,
DEU_LocationALower-35_57_T-1,8,R_G3,
DEU_LocationAUpper-50_267_T-1,13,R_G3,
DEU_LocationALower-41_245_T-1,7,R_G3,
DEU_LocationALower-41_245_T-1,10,R_G3,
DEU_LocationALower-42_125_T-1,10,R_G3,
DEU_LocationALower-37_10_T-1,5,R_G3,
DEU_LocationALower-37_10_T-1,19,R_G3,
DEU_LocationAUpper-40_31_T-1,11,R_G3,
DEU_LocationALower-35_129_T-1,5,R_G3,
DEU_LocationALower-35_129_T-1,6,R_G3,
DEU_LocationALower-35_129_T-1,12,R_G3,
DEU_LocationALower-35_129_T-1,13,R_G3,
DEU_LocationALower-40_141_T-1,10,R_G3,
DEU_LocationALower-40_141_T-1,13,R_G3,
DEU_LocationALower-40_262_T-1,6,R_G3,
DEU_LocationALower-40_262_T-1,7,R_G3,
DEU_LocationELower-24_14_T-1,8,R_G3,
DEU_LocationALower-36_15_T-1,20,R_G3,
DEU_LocationALower-35_96_T-1,7,R_G3,
DEU_LocationAUpper-54_254_T-1,7,R_G3,
DEU_LocationALower-30_261_T-1,9,R_G3,
DEU_LocationAUpper-27_281_T-1,15,R_G3,
DEU_LocationAUpper-27_281_T-1,23,R_G3,
DEU_LocationALower-42_47_T-1,7,R_G3,
DEU_LocationALower-42_47_T-1,10,R_G3,
DEU_LocationALower-42_47_T-1,13,R_G3,
DEU_LocationALower-42_47_T-1,15,R_G3,
DEU_LocationALower-33_120_T-1,9,R_G1,R_G3
DEU_LocationALower-33_120_T-1,11,R_G3,
DEU_LocationAUpper-47_24_T-1,12,R_G3,
DEU_LocationAUpper-47_24_T-1,16,R_G3,
DEU_LocationAUpper-47_24_T-1,18,R_G3,
DEU_LocationAUpper-30_189_T-1,9,R_G3,
DEU_LocationALower-39_121_T-1,7,R_G3,
DEU_LocationALower-39_121_T-1,13,R_G3,
DEU_LocationALower-55_200_T-1,6,R_G3,
DEU_LocationAUpper-29_59_T-1,9,R_G3,
DEU_LocationALower-14_43_T-1,22,R_G3,
DEU_LocationFLower-60_228_T-1,8,R_G3,
DEU_LocationFLower-60_228_T-1,11,R_G3,
DEU_LocationALower-45_218_T-1,7,R_G3,
DEU_LocationAUpper-39_35_T-1,13,R_G3,
DEU_LocationALower-33_226_T-1,12,R_G3,
DEU_LocationALower-33_226_T-1,13,R_G3,
DEU_LocationALower-33_226_T-1,14,R_G3,
DEU_LocationAUpper-34_165_T-1,9,R_G3,
DEU_LocationALower-12_164_T-1,17,R_G3,
DEU_LocationALower-56_103_T-1,14,R_G3,
DEU_LocationALower-54_139_T-1,14,R_G3,
DEU_LocationALower-54_139_T-1,17,R_G3,
DEU_LocationALower-52_139_T-1,15,R_G3,
DEU_LocationALower-14_139_T-1,8,R_G3,
DEU_LocationALower-52_14_T-1,23,R_G3,
DEU_LocationALower-45_9_T-1,11,R_G3,
DEU_LocationALower-50_100_T-1,7,R_G3,
DEU_LocationALower-50_100_T-1,11,R_G3,
DEU_LocationALower-56_163_T-1,7,R_G3,
DEU_LocationFLower-60_124_T-1,9,R_G3,
DEU_LocationALower-12_166_T-1,12,R_G3,
DEU_LocationALower-12_166_T-1,14,R_G3,
DEU_LocationALower-46_165_T-1,15,R_G3,
DEU_LocationALower-46_165_T-1,19,R_G3,
DEU_LocationALower-39_87_T-1,7,R_G3,
DEU_LocationALower-39_87_T-1,10,R_G3,
DEU_LocationALower-39_87_T-1,11,R_G3,
DEU_LocationALower-35_230_T-1,7,R_G3,
DEU_LocationALower-47_190_T-1,10,R_G3,
DEU_LocationAUpper-39_288_T-1,7,R_G3,
DEU_LocationALower-30_151_T-1,9,R_G3,
DEU_LocationALower-30_151_T-1,10,R_G3,
DEU_LocationALower-30_151_T-1,14,R_G3,
DEU_LocationAUpper-53_230_T-1,16,R_G3,
DEU_LocationALower-30_89_T-1,9,R_G3,
DEU_LocationALower-30_89_T-1,12,R_G3,
DEU_LocationAUpper-45_94_T-1,20,R_G3,
DEU_LocationALower-35_167_T-1,6,R_G3,
DEU_LocationALower-45_29_T-1,12,R_G3,
DEU_LocationALower-45_29_T-1,13,R_G3,
DEU_LocationALower-43_229_T-1,9,R_G3,
DEU_LocationALower-43_229_T-1,17,R_G1,R_G3
DEU_LocationALower-13_135_T-1,13,R_G3,
DEU_LocationALower-13_135_T-1,18,R_G3,
DEU_LocationALower-49_235_T-1,9,R_G3,
DEU_LocationALower-49_235_T-1,11,R_G3,
DEU_LocationALower-49_235_T-1,24,R_G3,
DEU_LocationALower-30_33_T-1,14,R_G3,
DEU_LocationALower-39_174_T-1,10,R_G3,
DEU_LocationALower-57_35_T-1,5,R_G3,
DEU_LocationDLower-9_142_T-1,5,R_G3,
DEU_LocationALower-53_137_T-1,14,R_G3,
DEU_LocationALower-53_137_T-1,19,R_G1,R_G3
DEU_LocationCLower-6_73_T-1,11,R_G3,
DEU_LocationALower-42_260_T-1,16,R_G3,
DEU_LocationCUpper-6_29_T-1,9,R_G3,
DEU_LocationCUpper-6_29_T-1,11,R_G1,R_G3
DEU_LocationALower-14_235_T-1,7,R_G3,
DEU_LocationALower-14_235_T-1,9,R_G3,
DEU_LocationALower-14_235_T-1,13,R_G3,
DEU_LocationALower-14_235_T-1,14,R_G3,
DEU_LocationALower-40_96_T-1,8,R_G3,
DEU_LocationALower-38_174_T-1,11,R_G3,
DEU_LocationAUpper-47_118_T-1,8,R_G3,
DEU_LocationALower-53_21_T-1,10,R_G3,
DEU_LocationALower-40_2_T-1,7,R_G3,
DEU_LocationALower-40_2_T-1,14,R_G3,
DEU_LocationAUpper-43_3_T-1,16,R_G3,
DEU_LocationALower-40_122_T-1,14,R_G3,
DEU_LocationALower-40_122_T-1,16,R_G3,
DEU_LocationALower-40_122_T-1,17,R_G3,
DEU_LocationALower-46_137_T-1,5,R_G3,
DEU_LocationALower-46_137_T-1,19,R_G3,
DEU_LocationBUpper-2_237_T-1,5,R_G3,
DEU_LocationALower-37_22_T-1,13,R_G3,
DEU_LocationALower-14_71_T-1,11,R_G3,
DEU_LocationALower-41_217_T-1,10,R_G3,
DEU_LocationALower-42_138_T-1,15,R_G3,
DEU_LocationALower-41_233_T-1,8,R_G3,
DEU_LocationALower-49_215_T-1,16,R_G3,
DEU_LocationALower-40_128_T-1,9,R_G3,
DEU_LocationALower-40_128_T-1,10,R_G3,
DEU_LocationALower-40_128_T-1,17,R_G3,
DEU_LocationALower-40_217_T-1,10,R_G3,
DEU_LocationAUpper-49_255_T-1,22,R_G1,R_G3
DEU_LocationALower-36_205_T-1,21,R_G3,
DEU_LocationALower-41_270_T-1,9,R_G3,
DEU_LocationALower-44_196_T-1,13,R_G3,
DEU_LocationALower-51_56_T-1,10,R_G3,
DEU_LocationALower-51_35_T-1,12,R_G3,
DEU_LocationALower-51_35_T-1,24,R_G3,
DEU_LocationAUpper-14_58_T-1,21,R_G3,
DEU_LocationALower-28_289_T-1,14,R_G3,
DEU_LocationAUpper-42_18_T-1,12,R_G3,
DEU_LocationALower-46_166_T-1,6,R_G3,
DEU_LocationALower-36_261_T-1,9,R_G3,
DEU_LocationFLower-58_19_T-1,11,R_G3,
DEU_LocationCLower-4_101_T-1,8,R_G3,
DEU_LocationCLower-4_101_T-1,10,R_G3,
DEU_LocationALower-33_18_T-1,16,R_G3,
DEU_LocationALower-33_18_T-1,22,R_G3,
DEU_LocationALower-32_99_T-1,9,R_G3,
DEU_LocationALower-32_99_T-1,11,R_G3,
DEU_LocationAUpper-30_216_T-1,14,R_G3,
DEU_LocationALower-13_140_T-1,12,R_G3,
DEU_LocationALower-43_71_T-1,11,R_G3,
DEU_LocationALower-40_67_T-1,12,R_G3,
DEU_LocationALower-40_67_T-1,14,R_G3,
DEU_LocationCLower-4_67_T-1,5,R_G3,
DEU_LocationALower-45_194_T-1,10,R_G3,
DEU_LocationALower-45_194_T-1,11,R_G3,
DEU_LocationAUpper-31_205_T-1,9,R_G3,
DEU_LocationALower-56_122_T-1,10,R_G3,
DEU_LocationALower-56_122_T-1,11,R_G3,
DEU_LocationALower-31_198_T-1,12,R_G3,
DEU_LocationALower-48_145_T-1,14,R_G3,
DEU_LocationALower-28_223_T-1,15,R_G3,
DEU_LocationALower-29_221_T-1,11,R_G3,
DEU_LocationALower-29_221_T-1,25,R_G3,
DEU_LocationALower-27_144_T-1,11,R_G3,
DEU_LocationALower-11_64_T-1,12,R_G3,
DEU_LocationALower-11_64_T-1,18,R_G1,R_G3
DEU_LocationALower-33_111_T-1,8,R_G3,
DEU_LocationALower-53_32_T-1,15,R_G3,
DEU_LocationALower-34_119_T-1,21,R_G3,
DEU_LocationALower-41_212_T-1,5,R_G3,
DEU_LocationALower-41_212_T-1,7,R_G3,
DEU_LocationALower-50_58_T-1,6,R_G3,
DEU_LocationALower-50_58_T-1,9,R_G3,
DEU_LocationALower-42_181_T-1,12,R_G3,
DEU_LocationCLower-6_286_T-1,14,R_G3,
DEU_LocationAUpper-33_174_T-1,12,R_G3,
DEU_LocationALower-53_23_T-1,7,R_G3,
DEU_LocationALower-39_133_T-1,12,R_G3,
DEU_LocationALower-39_133_T-1,13,R_G3,
DEU_LocationALower-12_77_T-1,7,R_G3,
DEU_LocationALower-43_117_T-1,15,R_G3,
DEU_LocationALower-41_190_T-1,7,R_G3,
DEU_LocationALower-11_111_T-1,16,R_G3,
DEU_LocationALower-11_111_T-1,19,R_G3,
DEU_LocationAUpper-53_195_T-1,13,R_G3,
DEU_LocationAUpper-53_195_T-1,14,R_G3,
DEU_LocationDLower-8_185_T-1,9,R_G3,
DEU_LocationAUpper-36_102_T-1,11,R_G3,
DEU_LocationELower-16_44_T-1,4,R_G3,
DEU_LocationALower-56_8_T-1,10,R_G3,
DEU_LocationALower-56_8_T-1,13,R_G3,
DEU_LocationALower-54_66_T-1,22,R_G3,
DEU_LocationALower-40_170_T-1,11,R_G3,
DEU_LocationALower-42_241_T-1,10,R_G3,
DEU_LocationALower-27_272_T-1,15,R_G3,
DEU_LocationALower-31_20_T-1,8,R_G3,
DEU_LocationAUpper-27_147_T-1,19,R_G3,
DEU_LocationALower-43_15_T-1,18,R_G3,
DEU_LocationALower-43_15_T-1,21,R_G3,
DEU_LocationALower-27_264_T-1,12,R_G3,
DEU_LocationALower-27_30_T-1,12,R_G3,
DEU_LocationALower-27_30_T-1,20,R_G3,
DEU_LocationALower-31_190_T-1,17,R_G3,
DEU_LocationAUpper-33_215_T-1,8,R_G3,
DEU_LocationALower-33_110_T-1,7,R_G3,
DEU_LocationALower-38_153_T-1,13,R_G3,
DEU_LocationALower-48_58_T-1,20,R_G3,
DEU_LocationALower-48_216_T-1,11,R_G3,
DEU_LocationAUpper-13_64_T-1,16,R_G3,
DEU_LocationALower-44_80_T-1,13,R_G3,
DEU_LocationELower-22_129_T-1,3,R_G3,
DEU_LocationALower-35_175_T-1,11,R_G3,
DEU_LocationALower-35_175_T-1,20,R_G3,
DEU_LocationALower-42_55_T-1,7,R_G3,
DEU_LocationALower-28_92_T-1,9,R_G3,
DEU_LocationALower-44_282_T-1,10,R_G3,
DEU_LocationALower-44_36_T-1,8,R_G3,
DEU_LocationALower-44_44_T-1,9,R_G3,
DEU_LocationALower-44_44_T-1,11,R_G3,
DEU_LocationALower-42_168_T-1,6,R_G3,
DEU_LocationALower-39_277_T-1,14,R_G3,
DEU_LocationALower-41_242_T-1,8,R_G3,
DEU_LocationALower-41_242_T-1,10,R_G3,
DEU_LocationALower-41_242_T-1,13,R_G3,
DEU_LocationALower-28_84_T-1,12,R_G3,
DEU_LocationALower-31_78_T-1,8,R_G3,
DEU_LocationALower-31_78_T-1,18,R_G3,
DEU_LocationALower-43_121_T-1,17,R_G3,
DEU_LocationALower-43_121_T-1,20,R_G3,
