scenario_id,ego_id,rule
DEU_LocationALower-52_14_T-1,17,R_G1
DEU_LocationALower-45_51_T-1,15,R_G1
DEU_LocationALower-45_51_T-1,21,R_G1
DEU_LocationDLower-8_16_T-1,7,R_G1
DEU_LocationDLower-8_16_T-1,8,R_G1
DEU_LocationALower-44_1_T-1,7,R_G1
DEU_LocationALower-54_44_T-1,19,R_G1
DEU_LocationAUpper-30_41_T-1,9,R_G1
DEU_LocationAUpper-25_5_T-1,11,R_G1
DEU_LocationAUpper-38_39_T-1,11,R_G1
DEU_LocationAUpper-38_39_T-1,12,R_G1
DEU_LocationALower-41_41_T-1,11,R_G1
DEU_LocationALower-34_30_T-1,11,R_G1
DEU_LocationAUpper-39_48_T-1,7,R_G1
DEU_LocationAUpper-39_48_T-1,13,R_G1
DEU_LocationAUpper-39_48_T-1,14,R_G1
DEU_LocationALower-44_57_T-1,15,R_G1
DEU_LocationAUpper-25_51_T-1,17,R_G1
DEU_LocationAUpper-25_51_T-1,25,R_G1
DEU_LocationAUpper-25_51_T-1,42,R_G1
DEU_LocationAUpper-13_27_T-1,15,R_G1
DEU_LocationAUpper-37_3_T-1,14,R_G1
DEU_LocationALower-53_22_T-1,9,R_G1
DEU_LocationALower-53_22_T-1,13,R_G1
DEU_LocationALower-53_22_T-1,20,R_G1
DEU_LocationAUpper-46_33_T-1,20,R_G1
DEU_LocationAUpper-39_51_T-1,6,R_G1
DEU_LocationAUpper-39_51_T-1,13,R_G1
DEU_LocationALower-34_19_T-1,14,R_G1
DEU_LocationELower-15_18_T-1,13,R_G1
DEU_LocationELower-15_18_T-1,14,R_G1
DEU_LocationALower-27_30_T-1,11,R_G1
DEU_LocationALower-51_43_T-1,7,R_G1
DEU_LocationALower-51_3_T-1,12,R_G1
DEU_LocationAUpper-48_15_T-1,12,R_G1
DEU_LocationAUpper-48_15_T-1,16,R_G1
DEU_LocationAUpper-48_15_T-1,19,R_G1
DEU_LocationAUpper-48_15_T-1,20,R_G1
DEU_LocationAUpper-50_3_T-1,10,R_G1
DEU_LocationAUpper-50_3_T-1,13,R_G1
DEU_LocationAUpper-44_9_T-1,13,R_G1
DEU_LocationAUpper-44_9_T-1,16,R_G1
DEU_LocationAUpper-44_9_T-1,20,R_G1
DEU_LocationAUpper-44_9_T-1,28,R_G1
DEU_LocationBUpper-1_18_T-1,12,R_G1
DEU_LocationBUpper-1_18_T-1,17,R_G1
DEU_LocationAUpper-41_46_T-1,16,R_G1
DEU_LocationALower-43_26_T-1,15,R_G1
DEU_LocationALower-43_26_T-1,18,R_G1
DEU_LocationAUpper-53_51_T-1,19,R_G1
DEU_LocationAUpper-53_51_T-1,20,R_G1
DEU_LocationEUpper-21_31_T-1,9,R_G1
DEU_LocationEUpper-21_31_T-1,11,R_G1
DEU_LocationAUpper-42_30_T-1,19,R_G1
DEU_LocationAUpper-51_26_T-1,13,R_G1
DEU_LocationFLower-58_2_T-1,18,R_G1
DEU_LocationALower-31_20_T-1,18,R_G1
DEU_LocationALower-31_20_T-1,20,R_G1
DEU_LocationALower-31_20_T-1,25,R_G1
DEU_LocationAUpper-52_19_T-1,13,R_G1
DEU_LocationAUpper-52_19_T-1,18,R_G1
DEU_LocationAUpper-40_47_T-1,16,R_G1
DEU_LocationCLower-5_51_T-1,12,R_G1
DEU_LocationAUpper-28_24_T-1,11,R_G1
DEU_LocationDLower-8_11_T-1,7,R_G1
DEU_LocationDUpper-7_19_T-1,10,R_G1
DEU_LocationAUpper-11_24_T-1,7,R_G1
DEU_LocationAUpper-11_24_T-1,13,R_G1
DEU_LocationALower-13_24_T-1,13,R_G1
DEU_LocationALower-13_24_T-1,14,R_G1
DEU_LocationALower-13_24_T-1,15,R_G1
DEU_LocationALower-45_19_T-1,6,R_G1
DEU_LocationALower-45_19_T-1,12,R_G1
DEU_LocationALower-28_34_T-1,19,R_G1
DEU_LocationALower-56_36_T-1,14,R_G1
DEU_LocationFLower-60_43_T-1,15,R_G1
DEU_LocationEUpper-23_8_T-1,7,R_G1
DEU_LocationEUpper-23_8_T-1,14,R_G1
DEU_LocationEUpper-23_8_T-1,15,R_G1
DEU_LocationELower-16_5_T-1,8,R_G1
DEU_LocationELower-17_12_T-1,5,R_G1
DEU_LocationAUpper-28_54_T-1,9,R_G1
DEU_LocationELower-16_36_T-1,6,R_G1
DEU_LocationELower-16_36_T-1,8,R_G1
DEU_LocationELower-16_36_T-1,9,R_G1
DEU_LocationELower-16_36_T-1,11,R_G1
DEU_LocationALower-46_11_T-1,15,R_G1
DEU_LocationALower-46_11_T-1,21,R_G1
DEU_LocationALower-46_11_T-1,24,R_G1
DEU_LocationAUpper-36_7_T-1,11,R_G1
DEU_LocationAUpper-36_7_T-1,19,R_G1
DEU_LocationAUpper-34_40_T-1,11,R_G1
DEU_LocationAUpper-34_40_T-1,13,R_G1
DEU_LocationELower-17_29_T-1,10,R_G1
DEU_LocationALower-34_20_T-1,19,R_G1
DEU_LocationAUpper-48_19_T-1,6,R_G1
DEU_LocationFUpper-59_6_T-1,13,R_G1
DEU_LocationFUpper-59_6_T-1,16,R_G1
DEU_LocationFUpper-59_6_T-1,17,R_G1
DEU_LocationALower-39_10_T-1,9,R_G1
DEU_LocationALower-39_10_T-1,13,R_G1
DEU_LocationDLower-9_31_T-1,9,R_G1
DEU_LocationDLower-9_31_T-1,12,R_G1
DEU_LocationDLower-9_31_T-1,17,R_G1
DEU_LocationALower-30_9_T-1,10,R_G1
DEU_LocationAUpper-37_2_T-1,17,R_G1
DEU_LocationAUpper-32_13_T-1,15,R_G1
DEU_LocationELower-24_18_T-1,8,R_G1
DEU_LocationALower-48_39_T-1,11,R_G1
DEU_LocationALower-48_39_T-1,15,R_G1
DEU_LocationALower-48_39_T-1,20,R_G1
DEU_LocationALower-48_39_T-1,22,R_G1
DEU_LocationALower-12_32_T-1,6,R_G1
DEU_LocationALower-14_55_T-1,11,R_G1
DEU_LocationALower-14_55_T-1,13,R_G1
DEU_LocationALower-14_55_T-1,15,R_G1
DEU_LocationALower-14_55_T-1,26,R_G1
DEU_LocationALower-14_55_T-1,29,R_G1
DEU_LocationDUpper-8_25_T-1,11,R_G1
DEU_LocationAUpper-42_53_T-1,22,R_G1
DEU_LocationFUpper-59_9_T-1,13,R_G1
DEU_LocationAUpper-53_21_T-1,7,R_G1
DEU_LocationAUpper-53_21_T-1,9,R_G1
DEU_LocationELower-17_9_T-1,9,R_G1
DEU_LocationALower-29_19_T-1,16,R_G1
DEU_LocationAUpper-39_39_T-1,12,R_G1
DEU_LocationAUpper-13_37_T-1,7,R_G1
DEU_LocationAUpper-13_37_T-1,8,R_G1
DEU_LocationAUpper-13_37_T-1,12,R_G1
DEU_LocationALower-52_29_T-1,9,R_G1
DEU_LocationALower-55_40_T-1,17,R_G1
DEU_LocationALower-47_26_T-1,16,R_G1
DEU_LocationAUpper-55_22_T-1,25,R_G1
DEU_LocationAUpper-55_22_T-1,27,R_G1
DEU_LocationALower-46_2_T-1,22,R_G1
DEU_LocationALower-46_2_T-1,49,R_G1
DEU_LocationAUpper-12_29_T-1,21,R_G1
DEU_LocationAUpper-13_10_T-1,22,R_G1
DEU_LocationAUpper-13_10_T-1,23,R_G1
DEU_LocationAUpper-43_42_T-1,14,R_G1
DEU_LocationALower-52_27_T-1,10,R_G1
DEU_LocationALower-52_27_T-1,19,R_G1
DEU_LocationELower-20_33_T-1,8,R_G1
DEU_LocationCUpper-4_20_T-1,12,R_G1
DEU_LocationAUpper-41_51_T-1,14,R_G1
DEU_LocationAUpper-39_46_T-1,7,R_G1
DEU_LocationELower-23_31_T-1,11,R_G1
DEU_LocationALower-36_38_T-1,13,R_G1
DEU_LocationALower-36_38_T-1,15,R_G1
DEU_LocationALower-36_38_T-1,17,R_G1
DEU_LocationALower-36_38_T-1,19,R_G1
DEU_LocationALower-36_38_T-1,25,R_G1
DEU_LocationAUpper-39_41_T-1,13,R_G1
DEU_LocationAUpper-54_20_T-1,10,R_G1
DEU_LocationALower-34_40_T-1,13,R_G1
DEU_LocationAUpper-40_22_T-1,12,R_G1
DEU_LocationAUpper-40_22_T-1,15,R_G1
DEU_LocationALower-41_53_T-1,12,R_G1
DEU_LocationALower-41_53_T-1,16,R_G1
DEU_LocationALower-25_36_T-1,14,R_G1
DEU_LocationAUpper-40_51_T-1,12,R_G1
DEU_LocationAUpper-40_51_T-1,15,R_G1
DEU_LocationEUpper-23_46_T-1,9,R_G1
DEU_LocationEUpper-23_46_T-1,20,R_G1
DEU_LocationALower-49_26_T-1,14,R_G1
DEU_LocationALower-12_45_T-1,12,R_G1
DEU_LocationALower-12_45_T-1,15,R_G1
DEU_LocationALower-12_45_T-1,16,R_G1
DEU_LocationALower-11_9_T-1,14,R_G1
DEU_LocationALower-11_9_T-1,15,R_G1
DEU_LocationALower-11_9_T-1,23,R_G1
DEU_LocationALower-37_31_T-1,10,R_G1
DEU_LocationEUpper-20_39_T-1,12,R_G1
DEU_LocationAUpper-25_41_T-1,8,R_G1
DEU_LocationAUpper-25_41_T-1,31,R_G1
DEU_LocationCLower-6_41_T-1,9,R_G1
DEU_LocationALower-14_52_T-1,12,R_G1
DEU_LocationALower-14_52_T-1,13,R_G1
DEU_LocationALower-14_52_T-1,14,R_G1
DEU_LocationCUpper-6_4_T-1,6,R_G1
DEU_LocationALower-26_20_T-1,13,R_G1
DEU_LocationELower-19_16_T-1,11,R_G1
DEU_LocationELower-19_16_T-1,14,R_G1
DEU_LocationALower-50_2_T-1,8,R_G1
DEU_LocationALower-47_43_T-1,7,R_G1
DEU_LocationALower-47_43_T-1,13,R_G1
DEU_LocationAUpper-36_61_T-1,18,R_G1
DEU_LocationAUpper-36_61_T-1,21,R_G1
DEU_LocationALower-26_11_T-1,18,R_G1
DEU_LocationAUpper-50_21_T-1,18,R_G1
DEU_LocationALower-36_5_T-1,13,R_G1
DEU_LocationALower-57_35_T-1,8,R_G1
DEU_LocationALower-41_24_T-1,12,R_G1
DEU_LocationAUpper-38_24_T-1,14,R_G1
DEU_LocationALower-25_8_T-1,17,R_G1
DEU_LocationAUpper-26_5_T-1,23,R_G1
DEU_LocationALower-38_16_T-1,8,R_G1
DEU_LocationALower-38_16_T-1,14,R_G1
DEU_LocationALower-38_16_T-1,15,R_G1
DEU_LocationALower-38_16_T-1,18,R_G1
DEU_LocationALower-38_16_T-1,20,R_G1
DEU_LocationEUpper-20_11_T-1,7,R_G1
DEU_LocationEUpper-20_11_T-1,8,R_G1
DEU_LocationEUpper-20_11_T-1,15,R_G1
DEU_LocationALower-30_46_T-1,7,R_G1
DEU_LocationALower-30_46_T-1,15,R_G1
DEU_LocationALower-35_6_T-1,8,R_G1
DEU_LocationALower-35_6_T-1,21,R_G1
DEU_LocationCLower-6_3_T-1,6,R_G1
DEU_LocationEUpper-21_37_T-1,6,R_G1
DEU_LocationEUpper-21_37_T-1,9,R_G1
DEU_LocationAUpper-25_35_T-1,29,R_G1
DEU_LocationAUpper-31_8_T-1,15,R_G1
DEU_LocationAUpper-31_8_T-1,16,R_G1
DEU_LocationALower-48_15_T-1,9,R_G1
DEU_LocationAUpper-42_5_T-1,9,R_G1
DEU_LocationAUpper-42_5_T-1,20,R_G1
DEU_LocationAUpper-36_3_T-1,16,R_G1
DEU_LocationAUpper-36_3_T-1,25,R_G1
DEU_LocationAUpper-33_22_T-1,10,R_G1
DEU_LocationALower-41_23_T-1,10,R_G1
DEU_LocationALower-41_23_T-1,17,R_G1
DEU_LocationALower-30_24_T-1,11,R_G1
DEU_LocationALower-30_24_T-1,13,R_G1
DEU_LocationALower-30_24_T-1,16,R_G1
DEU_LocationAUpper-53_23_T-1,11,R_G1
DEU_LocationAUpper-53_23_T-1,15,R_G1
DEU_LocationAUpper-53_23_T-1,16,R_G1
DEU_LocationBUpper-1_32_T-1,7,R_G1
DEU_LocationBUpper-1_32_T-1,11,R_G1
DEU_LocationALower-56_26_T-1,15,R_G1
DEU_LocationCLower-6_14_T-1,11,R_G1
DEU_LocationALower-49_49_T-1,19,R_G1
DEU_LocationAUpper-44_38_T-1,20,R_G1
DEU_LocationAUpper-44_38_T-1,21,R_G1
DEU_LocationALower-14_40_T-1,16,R_G1
DEU_LocationALower-14_40_T-1,24,R_G1
DEU_LocationELower-16_26_T-1,10,R_G1
DEU_LocationAUpper-25_39_T-1,15,R_G1
DEU_LocationAUpper-25_39_T-1,24,R_G1
DEU_LocationALower-53_2_T-1,16,R_G1
DEU_LocationALower-53_2_T-1,17,R_G1
DEU_LocationAUpper-53_3_T-1,22,R_G1
DEU_LocationAUpper-39_17_T-1,19,R_G1
DEU_LocationAUpper-39_17_T-1,20,R_G1
DEU_LocationCUpper-6_38_T-1,9,R_G1
DEU_LocationCUpper-6_38_T-1,10,R_G1
DEU_LocationAUpper-55_4_T-1,16,R_G1
DEU_LocationAUpper-55_4_T-1,19,R_G1
DEU_LocationFUpper-60_46_T-1,11,R_G1
DEU_LocationALower-38_26_T-1,8,R_G1
DEU_LocationALower-38_26_T-1,11,R_G1
DEU_LocationALower-38_26_T-1,23,R_G1
DEU_LocationALower-41_2_T-1,17,R_G1
DEU_LocationALower-52_20_T-1,16,R_G1
DEU_LocationALower-57_27_T-1,16,R_G1
DEU_LocationALower-45_48_T-1,27,R_G1
DEU_LocationALower-45_48_T-1,30,R_G1
DEU_LocationAUpper-50_57_T-1,11,R_G1
DEU_LocationEUpper-16_31_T-1,7,R_G1
DEU_LocationEUpper-16_31_T-1,9,R_G1
DEU_LocationAUpper-11_16_T-1,15,R_G1
DEU_LocationAUpper-11_16_T-1,23,R_G1
DEU_LocationAUpper-11_16_T-1,24,R_G1
DEU_LocationAUpper-11_16_T-1,26,R_G1
DEU_LocationAUpper-11_16_T-1,30,R_G1
DEU_LocationALower-27_27_T-1,8,R_G1
DEU_LocationALower-27_27_T-1,11,R_G1
DEU_LocationALower-46_10_T-1,11,R_G1
DEU_LocationALower-46_10_T-1,17,R_G1
DEU_LocationALower-43_25_T-1,13,R_G1
DEU_LocationALower-43_25_T-1,19,R_G1
DEU_LocationAUpper-30_7_T-1,6,R_G1
DEU_LocationAUpper-11_20_T-1,24,R_G1
DEU_LocationAUpper-45_45_T-1,8,R_G1
DEU_LocationAUpper-45_45_T-1,17,R_G1
DEU_LocationAUpper-45_45_T-1,22,R_G1
DEU_LocationAUpper-45_45_T-1,24,R_G1
DEU_LocationAUpper-34_34_T-1,15,R_G1
DEU_LocationALower-14_16_T-1,24,R_G1
DEU_LocationAUpper-35_46_T-1,6,R_G1
DEU_LocationAUpper-54_52_T-1,10,R_G1
DEU_LocationALower-27_34_T-1,9,R_G1
DEU_LocationALower-45_6_T-1,9,R_G1
DEU_LocationAUpper-40_45_T-1,10,R_G1
DEU_LocationALower-39_53_T-1,19,R_G1
DEU_LocationDLower-7_2_T-1,14,R_G1
DEU_LocationDLower-7_2_T-1,15,R_G1
DEU_LocationDLower-7_2_T-1,17,R_G1
DEU_LocationAUpper-55_25_T-1,15,R_G1
DEU_LocationALower-48_13_T-1,13,R_G1
DEU_LocationALower-40_2_T-1,6,R_G1
DEU_LocationALower-40_2_T-1,8,R_G1
DEU_LocationALower-40_2_T-1,18,R_G1
DEU_LocationALower-40_2_T-1,21,R_G1
DEU_LocationALower-53_14_T-1,9,R_G1
DEU_LocationALower-38_24_T-1,12,R_G1
DEU_LocationCUpper-6_23_T-1,11,R_G1
DEU_LocationAUpper-35_17_T-1,13,R_G1
DEU_LocationAUpper-35_17_T-1,19,R_G1
DEU_LocationALower-45_46_T-1,15,R_G1
DEU_LocationALower-25_43_T-1,18,R_G1
DEU_LocationEUpper-24_22_T-1,6,R_G1
DEU_LocationAUpper-26_48_T-1,15,R_G1
DEU_LocationALower-36_34_T-1,20,R_G1
DEU_LocationALower-47_40_T-1,18,R_G1
DEU_LocationALower-47_40_T-1,23,R_G1
DEU_LocationDUpper-8_50_T-1,9,R_G1
DEU_LocationALower-51_20_T-1,11,R_G1
DEU_LocationAUpper-51_5_T-1,11,R_G1
DEU_LocationAUpper-28_20_T-1,10,R_G1
DEU_LocationAUpper-28_20_T-1,15,R_G1
DEU_LocationAUpper-28_20_T-1,18,R_G1
DEU_LocationBLower-2_43_T-1,5,R_G1
DEU_LocationAUpper-27_49_T-1,15,R_G1
DEU_LocationFUpper-60_31_T-1,17,R_G1
DEU_LocationFUpper-60_40_T-1,11,R_G1
DEU_LocationFUpper-60_40_T-1,13,R_G1
DEU_LocationAUpper-53_9_T-1,16,R_G1
DEU_LocationELower-18_13_T-1,7,R_G1
DEU_LocationDUpper-9_39_T-1,11,R_G1
DEU_LocationELower-20_44_T-1,9,R_G1
DEU_LocationALower-28_48_T-1,6,R_G1
DEU_LocationAUpper-12_7_T-1,24,R_G1
DEU_LocationAUpper-12_7_T-1,25,R_G1
DEU_LocationAUpper-12_7_T-1,26,R_G1
DEU_LocationALower-26_56_T-1,33,R_G1
DEU_LocationALower-26_56_T-1,37,R_G1
DEU_LocationALower-51_28_T-1,16,R_G1
DEU_LocationAUpper-38_17_T-1,15,R_G1
DEU_LocationAUpper-33_30_T-1,11,R_G1
DEU_LocationBUpper-3_19_T-1,5,R_G1
DEU_LocationBUpper-3_19_T-1,7,R_G1
DEU_LocationAUpper-47_4_T-1,15,R_G1
DEU_LocationAUpper-47_4_T-1,23,R_G1
DEU_LocationALower-28_2_T-1,12,R_G1
DEU_LocationALower-28_2_T-1,19,R_G1
DEU_LocationFLower-59_7_T-1,11,R_G1
DEU_LocationAUpper-28_58_T-1,10,R_G1
DEU_LocationBUpper-3_33_T-1,10,R_G1
DEU_LocationAUpper-12_21_T-1,22,R_G1
DEU_LocationAUpper-12_21_T-1,25,R_G1
DEU_LocationAUpper-12_21_T-1,33,R_G1
DEU_LocationALower-13_36_T-1,18,R_G1
DEU_LocationAUpper-43_10_T-1,17,R_G1
DEU_LocationALower-56_5_T-1,14,R_G1
DEU_LocationALower-56_5_T-1,20,R_G1
DEU_LocationALower-56_5_T-1,21,R_G1
DEU_LocationAUpper-26_11_T-1,20,R_G1
DEU_LocationAUpper-26_11_T-1,32,R_G1
DEU_LocationAUpper-26_11_T-1,33,R_G1
DEU_LocationCUpper-5_4_T-1,11,R_G1
DEU_LocationEUpper-16_8_T-1,4,R_G1
DEU_LocationALower-31_56_T-1,14,R_G1
DEU_LocationALower-31_56_T-1,19,R_G1
DEU_LocationALower-11_8_T-1,16,R_G1
DEU_LocationDUpper-8_51_T-1,9,R_G1
DEU_LocationDUpper-8_51_T-1,12,R_G1
DEU_LocationALower-57_5_T-1,16,R_G1
DEU_LocationALower-57_5_T-1,17,R_G1
DEU_LocationAUpper-35_21_T-1,7,R_G1
DEU_LocationALower-42_23_T-1,11,R_G1
DEU_LocationALower-52_32_T-1,8,R_G1
DEU_LocationALower-52_32_T-1,9,R_G1
DEU_LocationAUpper-41_28_T-1,9,R_G1
DEU_LocationAUpper-41_28_T-1,24,R_G1
DEU_LocationAUpper-41_28_T-1,25,R_G1
DEU_LocationALower-32_26_T-1,16,R_G1
DEU_LocationBUpper-1_20_T-1,4,R_G1
DEU_LocationBUpper-1_20_T-1,7,R_G1
DEU_LocationAUpper-11_5_T-1,17,R_G1
DEU_LocationAUpper-11_5_T-1,19,R_G1
DEU_LocationALower-54_40_T-1,6,R_G1
DEU_LocationALower-54_40_T-1,9,R_G1
DEU_LocationAUpper-25_59_T-1,12,R_G1
DEU_LocationAUpper-34_7_T-1,14,R_G1
DEU_LocationAUpper-51_17_T-1,17,R_G1
DEU_LocationAUpper-45_23_T-1,18,R_G1
DEU_LocationALower-52_46_T-1,16,R_G1
DEU_LocationALower-54_38_T-1,9,R_G1
DEU_LocationELower-19_33_T-1,8,R_G1
DEU_LocationELower-19_33_T-1,9,R_G1
DEU_LocationELower-19_33_T-1,10,R_G1
DEU_LocationAUpper-39_13_T-1,9,R_G1
DEU_LocationAUpper-39_13_T-1,13,R_G1
DEU_LocationALower-55_21_T-1,20,R_G1
DEU_LocationALower-44_33_T-1,15,R_G1
DEU_LocationALower-33_51_T-1,17,R_G1
DEU_LocationALower-27_40_T-1,11,R_G1
DEU_LocationALower-27_40_T-1,15,R_G1
DEU_LocationALower-27_40_T-1,16,R_G1
DEU_LocationAUpper-45_8_T-1,17,R_G1
DEU_LocationEUpper-16_46_T-1,5,R_G1
DEU_LocationAUpper-39_6_T-1,16,R_G1
DEU_LocationAUpper-39_6_T-1,17,R_G1
DEU_LocationALower-49_10_T-1,20,R_G1
DEU_LocationALower-45_11_T-1,11,R_G1
DEU_LocationALower-45_11_T-1,16,R_G1
DEU_LocationCUpper-5_27_T-1,9,R_G1
DEU_LocationAUpper-28_17_T-1,8,R_G1
DEU_LocationALower-28_27_T-1,9,R_G1
DEU_LocationALower-28_27_T-1,11,R_G1
DEU_LocationELower-21_26_T-1,20,R_G1
DEU_LocationAUpper-14_5_T-1,17,R_G1
DEU_LocationAUpper-14_5_T-1,19,R_G1
DEU_LocationAUpper-14_5_T-1,27,R_G1
DEU_LocationAUpper-36_62_T-1,7,R_G1
DEU_LocationAUpper-36_62_T-1,17,R_G1
DEU_LocationAUpper-36_62_T-1,41,R_G1
DEU_LocationAUpper-27_8_T-1,13,R_G1
DEU_LocationBLower-1_7_T-1,5,R_G1
DEU_LocationBLower-1_7_T-1,8,R_G1
DEU_LocationALower-51_26_T-1,8,R_G1
DEU_LocationALower-51_26_T-1,11,R_G1
DEU_LocationALower-51_26_T-1,12,R_G1
DEU_LocationALower-51_26_T-1,15,R_G1
DEU_LocationALower-51_26_T-1,18,R_G1
DEU_LocationALower-51_26_T-1,19,R_G1
DEU_LocationCLower-5_20_T-1,6,R_G1
DEU_LocationAUpper-57_38_T-1,11,R_G1
DEU_LocationAUpper-57_38_T-1,17,R_G1
DEU_LocationAUpper-29_52_T-1,12,R_G1
DEU_LocationAUpper-29_52_T-1,20,R_G1
DEU_LocationALower-14_10_T-1,14,R_G1
DEU_LocationAUpper-31_25_T-1,8,R_G1
DEU_LocationAUpper-31_25_T-1,16,R_G1
DEU_LocationELower-16_2_T-1,7,R_G1
DEU_LocationELower-16_2_T-1,16,R_G1
DEU_LocationAUpper-38_4_T-1,15,R_G1
DEU_LocationALower-35_32_T-1,15,R_G1
DEU_LocationALower-41_52_T-1,14,R_G1
DEU_LocationAUpper-53_42_T-1,9,R_G1
DEU_LocationAUpper-53_42_T-1,16,R_G1
DEU_LocationAUpper-53_42_T-1,25,R_G1
DEU_LocationALower-56_47_T-1,9,R_G1
DEU_LocationALower-46_32_T-1,12,R_G1
DEU_LocationALower-46_32_T-1,21,R_G1
DEU_LocationALower-46_32_T-1,27,R_G1
DEU_LocationAUpper-31_38_T-1,12,R_G1
DEU_LocationAUpper-40_30_T-1,14,R_G1
DEU_LocationAUpper-40_30_T-1,18,R_G1
DEU_LocationAUpper-30_12_T-1,9,R_G1
DEU_LocationALower-13_18_T-1,22,R_G1
DEU_LocationAUpper-46_45_T-1,7,R_G1
DEU_LocationDUpper-7_13_T-1,9,R_G1
DEU_LocationDUpper-7_13_T-1,13,R_G1
DEU_LocationAUpper-12_24_T-1,33,R_G1
DEU_LocationEUpper-19_33_T-1,6,R_G1
DEU_LocationBUpper-2_3_T-1,12,R_G1
DEU_LocationBUpper-2_3_T-1,18,R_G1
DEU_LocationDUpper-8_3_T-1,11,R_G1
DEU_LocationDUpper-8_3_T-1,12,R_G1
DEU_LocationDUpper-8_3_T-1,15,R_G1
DEU_LocationFUpper-59_18_T-1,14,R_G1
DEU_LocationALower-46_5_T-1,20,R_G1
DEU_LocationAUpper-29_47_T-1,16,R_G1
DEU_LocationAUpper-13_46_T-1,16,R_G1
DEU_LocationAUpper-13_46_T-1,19,R_G1
DEU_LocationALower-40_6_T-1,16,R_G1
DEU_LocationALower-38_36_T-1,7,R_G1
DEU_LocationAUpper-36_2_T-1,17,R_G1
DEU_LocationAUpper-36_2_T-1,23,R_G1
DEU_LocationEUpper-24_12_T-1,8,R_G1
DEU_LocationELower-23_16_T-1,5,R_G1
DEU_LocationELower-23_16_T-1,8,R_G1
DEU_LocationALower-38_40_T-1,10,R_G1
DEU_LocationALower-38_40_T-1,15,R_G1
DEU_LocationALower-54_48_T-1,18,R_G1
DEU_LocationALower-54_48_T-1,19,R_G1
DEU_LocationAUpper-43_6_T-1,14,R_G1
DEU_LocationAUpper-43_6_T-1,15,R_G1
DEU_LocationAUpper-43_6_T-1,17,R_G1
DEU_LocationAUpper-43_6_T-1,22,R_G1
DEU_LocationAUpper-54_47_T-1,13,R_G1
DEU_LocationCUpper-4_46_T-1,11,R_G1
DEU_LocationEUpper-22_26_T-1,4,R_G1
