,,R_IN1,R_IN3,R_IN4,R_IN5
DEU_AAH1-2_133750_T-3899,10059,-1.0,1.0,1.0,1.0
DEU_AAH1-2_129000_T-9149,10099,-1.0,1.0,1.0,1.0
DEU_AAH1-2_106150_T-6299,10083,-1.0,1.0,1.0,1.0
DEU_AAH1-2_112550_T-2699,10042,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_112250_T-2399,10039,-1.0,1.0,1.0,1.0
DEU_AAH1-2_104800_T-4949,10063,-1.0,1.0,1.0,1.0
DEU_AAH1-2_134800_T-4949,10073,-1.0,1.0,1.0,1.0
DEU_AAH1-2_112100_T-2249,10037,-1.0,1.0,1.0,1.0
DEU_AAH1-2_125850_T-5999,10057,-1.0,1.0,1.0,1.0
DEU_AAH1-2_129300_T-9449,10102,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_176000_T-6149,10093,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_142250_T-2399,10033,-1.0,1.0,1.0,1.0
DEU_AAH1-2_814550_T-14699,10226,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_722350_T-22499,10173,-1.0,1.0,1.0,1.0
DEU_AAH1-2_166750_T-6899,10106,-1.0,1.0,1.0,1.0
DEU_AAH1-2_145400_T-5549,10067,-1.0,1.0,1.0,1.0
DEU_AAH1-2_175100_T-5249,10081,-1.0,1.0,1.0,1.0
DEU_AAH1-2_147800_T-7949,10098,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_716050_T-16199,10123,-1.0,1.0,1.0,1.0
DEU_AAH1-2_147350_T-7499,10093,-1.0,1.0,1.0,1.0
DEU_AAH1-2_812450_T-12599,10187,-1.0,1.0,1.0,1.0
DEU_AAH1-2_818150_T-18299,10276,-1.0,1.0,1.0,1.0
DEU_AAH1-2_142700_T-2849,10038,-1.0,1.0,1.0,1.0
DEU_AAH1-2_179150_T-9299,10144,-1.0,1.0,1.0,1.0
DEU_AAH1-2_177950_T-8099,10125,-1.0,1.0,1.0,1.0
DEU_AAH1-2_818600_T-18749,10280,-1.0,1.0,1.0,1.0
DEU_AAH1-2_137500_T-7649,10117,-1.0,1.0,1.0,1.0
DEU_AAH1-2_141950_T-2099,10030,-1.0,1.0,1.0,1.0
DEU_AAH1-2_718750_T-18899,10147,-1.0,1.0,1.0,1.0
DEU_AAH1-2_159150_T-9299,10123,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_815000_T-15149,10229,-1.0,1.0,1.0,1.0
DEU_AAH1-2_165700_T-5849,10098,-1.0,1.0,1.0,1.0
DEU_AAH1-2_819500_T-19649,10298,-1.0,1.0,1.0,1.0
DEU_AAH1-2_825800_T-25949,10405,-1.0,1.0,1.0,1.0
DEU_AAH1-2_155400_T-5549,10079,-1.0,1.0,1.0,1.0
DEU_AAH1-2_725650_T-25799,10203,-1.0,1.0,1.0,1.0
DEU_AAH1-2_144050_T-4199,10055,-1.0,1.0,1.0,1.0
DEU_AAH1-2_814100_T-14249,10218,-1.0,1.0,1.0,1.0
DEU_AAH1-2_712000_T-12149,10100,-1.0,1.0,1.0,1.0
DEU_AAH1-2_176150_T-6299,10097,-1.0,1.0,1.0,1.0
DEU_AAH1-2_911700_T-11849,10140,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_141800_T-1949,10027,-1.0,1.0,1.0,1.0
DEU_AAH1-2_819650_T-19799,10300,-1.0,1.0,1.0,1.0
DEU_AAH1-2_819650_T-19799,10302,-1.0,1.0,1.0,1.0
DEU_AAH1-2_713350_T-13499,10107,-1.0,1.0,1.0,1.0
DEU_AAH1-2_812300_T-12449,10186,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1418150_T-18299,10271,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1010050_T-10199,10122,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1220250_T-20399,10266,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1415000_T-15149,10228,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1314250_T-14399,10195,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1314250_T-14399,10204,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1310800_T-10949,10157,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1113650_T-13799,10181,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1112750_T-12899,10170,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1312750_T-12899,10181,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1222950_T-23099,10289,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1222950_T-23099,10303,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1111100_T-11249,10147,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1116350_T-16499,10217,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1415300_T-15449,10230,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1316800_T-16949,10233,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1017100_T-17249,10202,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1011250_T-11399,10139,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1114850_T-14999,10196,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1311100_T-11249,10158,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_916650_T-16799,10200,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1418300_T-18449,10284,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1019950_T-20099,10240,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1118900_T-19049,10258,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1117400_T-17549,10231,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1322500_T-22649,10315,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1224600_T-24749,10335,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1417400_T-17549,10259,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1316050_T-16199,10221,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1013350_T-13499,10166,-1.0,1.0,1.0,1.0
DEU_AAH1-2_918750_T-18899,10229,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1114700_T-14849,10195,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1322950_T-23099,10323,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1322950_T-23099,10324,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1223250_T-23399,10319,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1226400_T-26549,10363,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1013500_T-13649,10168,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1223400_T-23549,10320,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1014700_T-14849,10182,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1318450_T-18599,10271,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_916800_T-16949,10201,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1415750_T-15899,10238,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1210650_T-10799,10119,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1315900_T-16049,10218,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1120100_T-20249,10267,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1122050_T-22199,10297,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1115750_T-15899,10205,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1112900_T-13049,10171,-1.0,1.0,1.0,1.0
DEU_AAH1-2_918150_T-18299,10217,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1410050_T-10199,10125,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1313200_T-13349,10181,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1420400_T-20549,10315,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1517850_T-17999,10224,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1618300_T-18449,10267,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1712300_T-12449,10187,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1514100_T-14249,10184,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1611250_T-11399,10178,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1518300_T-18449,10237,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1625800_T-25949,10393,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1610350_T-10499,10164,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1614250_T-14399,10217,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1716050_T-16199,10235,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1421900_T-22049,10334,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1627600_T-27749,10414,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1712750_T-12899,10192,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1519050_T-19199,10239,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1419950_T-20099,10306,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1716500_T-16649,10241,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1422200_T-22349,10338,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1627900_T-28049,10420,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1422800_T-22949,10349,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1721900_T-22049,10324,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1423850_T-23999,10361,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1423100_T-23249,10351,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1718000_T-18149,10254,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1424600_T-24749,10367,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1619650_T-19799,10295,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1719650_T-19799,10281,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1622800_T-22949,10346,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1721300_T-21449,10315,-1.0,1.0,-1.0,1.0
DEU_AAH1-2_1512600_T-12749,10164,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1624450_T-24599,10371,-1.0,1.0,1.0,1.0
DEU_AAH1-2_1619800_T-19949,10297,-1.0,1.0,1.0,1.0
